approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
FDF/E/40,AKJ GLOBAL MULTI CONCEPTS ENTERPRISES,"NO. 1, PAGUN, OKE-OMI, OLODO, IWO ROAD, IBADAN, OYO STATE.",Olodo,,"Lagelu,Oyo",Nigeria,third-country,FFP,PP,,,PP - Processing Plant,27/04/2022,
FDF/C/34,AKOIBIRISEI LOGISTICS NIG. LTD,"KIRIKIRI LIGHTER TERMINAL NPA JETTY, PHASE 11 APAPA - LAGOS",Apapa,,Lagos,Nigeria,third-country,FFP,CS,,,CS - Cold Stores,10/11/2025,
FDF/V/34-01,AKOIBIRISEI LOGISTICS NIG. LTD,"KIRIKIRI LIGHTER TERMINAL NPA JETTY, PHASE 11 APAPA - LAGOS",Apapa,,Lagos; 8963959	30/10/2025,Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/V/34-07,AMATEITEIKIRITEIGHA (AKOIBIRISEI LOGISTICS NIG. LTD),"KIRIKIRI LIGHTER TERMINAL NPA JETTY, PHASE 11 APAPA - LAGOS",Apapa,,Lagos; 8940191	10/11/2025,Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/V/12D-62,ATLANTIC SHRIMPERS LTD,KIRIKIRI LIGHTER TERMINAL PHASE I,Lagos,,"Hawul,Borno; 9905681	12/05/2022",Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/V/12D-63,ATLANTIC SHRIMPERS LTD,KIRIKIRI LIGHTER TERMINAL PHASE I,Lagos,,"Hawul,Borno; 9905693	12/05/2022",Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/V/12A-11,Adunola (Atlantic Shrimpers Ltd.),,Apapa,,"Kauru,Kaduna",Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/E/28,Apo - Biz Ventures Limited (Apo Farms),"School Road, Igwurutali",Port Harcourt,500211,,Nigeria,third-country,FFP,PP,,,"Port-Harcourt,Rivers | PP - Processing Plant",,
FDF/C/18,Atlantic Shrimpers Farm Cold Room,Olorunda Local Council Development Area,Badagry,,"Badagry,Lagos",Nigeria,third-country,FFP,CS,,,CS - Cold Stores,,
FDF/E/22,Atlantic Shrimpers Farm Processing Factory,Olorunda Local Council Development Area,Badagry,,"Badagry,Lagos",Nigeria,third-country,FFP,PP,,,PP - Processing Plant,,
FDF/C/02,Atlantic Shrimpers Ltd.,,Lagos,,"Lagos Island,Lagos",Nigeria,third-country,FFP,CS,,,CS - Cold Stores,10/05/2023,
FDF/E/08,Atlantic Shrimpers Ltd.,Phase 1,Apapa,,Lagos,Nigeria,third-country,FFP,PP,,,PP - Processing Plant,,
FDF/V/12A-04,Awele (Atlantic Shrimpers Ltd.),,Apapa,,"Akinyele,Oyo",Nigeria,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FDF/C/04,BANARLY NIG. LTD,,Lagos,,"Lagos Island,Lagos",Nigeria,third-country,FFP,CS,,,CS - Cold Stores,10/05/2023,
