approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
NO372,AASHEIM KJØTT AS,Teglverksveien 49,Solbergelva,3057,Buskerud,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1852,AVD KJUS VILT SLAKT AVD KJUS BEST GUN,Kongeveien 35,Ås,1433,Akershus,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
NO166,AXEL ANDERSEN AS,Nedre Eikervei 49,Drammen,3045,Buskerud,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1000,Alf Strøm-Larsen AS avd Furuset,Professor Birkelands vei 28C,Oslo,0976,Oslo,Norway,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
102,Animalia AS avd Økern Torgvei Oslo,Økern torgvei 13,Oslo,0580,Oslo,Norway,EU-EFTA,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
2610,BEERENBERGER AS,Tempevegen 22,Trondheim,7035,Trøndelag,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1580,BERGSTRØM KJØTT OG DELIKATESSE AS,Isebakkeveien 55,Halden,1788,Østfold,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1420,BR LUNDAL AS LUNDAL PRODUKSJON,Frakkagjerdvegen 90,Frakkagjerd,5563,Rogaland,Norway,EU-EFTA,RM,CP,N,ovine,CP - Cutting Plant,,
NO1678,BRUBAKKEN BRØDRENE AS,Gamle Kragerøvei 29,Kragerø,3770,Telemark,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
979,BRØDRENE RINGSTAD AS AVD PRODUKSJON BEDRIFTSVEIEN,Bedriftsveien 10,Rakkestad,1890,Østfold,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
220,Berg - gård AS,Kjelvikvegen 71,Inderøy,7670,Trøndelag,Norway,EU-EFTA,RM,SH,Y,caprine ovine,SH - Slaughterhouse,,
1279,Bjorli Fjellmat AS,Vasstårnvegen 1,Bjorli,2669,Oppland,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1629,BØ GÅRDSSLAKTERI AS,Øver-Bø 5,Sortland,8404,Nordland,Norway,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
267,DALPRO AS AVD HITRA,Hammerstadveien 1,Melandsjø,7250,Trøndelag,Norway,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
706,Dagfinn Spikkelands viltslakteri,Hønemyrveien 19,Øvland,4646,,Norway,EU-EFTA,RM,CP,N,,"Vest-Agder,West Agder | CP - Cutting Plant",,
291,ERTNES KJØTT AS AVD PRODUKSJON,Værftsgata 2,Moss,1511,Østfold,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
451,EVANGER PØLSEFABRIKK AS,Teigdalsvegen 296,Evanger,5707,Hordaland,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
332,Edelgard As,Buktavegen 17,Vestnes,6390,Møre og Romsdal,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1215,Eidsmo Kjøtt AS,Rosmælen 14,Kvål,7228,Trøndelag,Norway,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
160,FATLAND OSLO AS,PROFESSOR BIRKELAND VEI 30,Oslo,1178,Oslo,Norway,EU-EFTA,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
141,FATLAND ØLEN AS,"Øvrehagen 2, 5580 Ølen",Ølen,5580,Rogaland,Norway,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
1757,FG Kjøttsenter AS,Prof. Birkelands vei 30 A,Oslo,0976,Oslo,Norway,EU-EFTA,RM,CP,N,ovine,CP - Cutting Plant,,
