approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
QC92/113,AL Wusta Fisheries industries LLC Acila,P.O Box 1093 P.C 130,Muscat,117,Muscat; 9957787	04/07/2024,Oman,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
QC92/124,AL Wusta Fisheries industries LLC Adamas,Info@awf.om omanpelagic.co,Muscat,117,Muscat; 9957799	22/12/2025,Oman,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
QC92/99,AL Wusta Fisheries industries LLC Jowhrat alwusta,P.O/1093 P.C/130,Duqm,,Al Wusta; 9256664	22/06/2022,Oman,third-country,FFP,FV,,,FV - Factory Vessel,,
QC92/52,AL jadyani Trading Company,"P.O. Box 74, Ruwi, P.C. 211, Sultanate of Oman",Raysut,,Dhofar,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/73,ALsardin Modern LLC,"P.O.Box 82, Ruwi, P.C. 120, Sultanate of Oman",Duqm,,Al Wusta,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/78,Abu Eman Albalushi Trading,"P.O.Box230,Ruwi, P.C. 120, Sultanate of Oman",Jalan Bani Bu Ali,,Ash Sharqiyah,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/51,Al Ainkawi LLC,"P.O.Box 2148, Safakih. P.C.: 12",Ras Madrakah,,Al Wusta,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/27,Al Ainkawi LLC,"P.O.Box 2148, Muscat, P.C. 112",Ghala as Sinaiyah,600,Muscat,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/83,Al Buthaini International Fisheries LLC,"P.O. Box 388, Jalan bani Ali, P.C. 416",Jalan Bani Bu Ali,,Ash Sharqiyah,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/109,Al majali Industries LLC,mkh.almajali@yahoo.com,Masirah,,Ash Sharqiyah,Oman,third-country,FFP,PP,,,PP - Processing Plant,08/08/2023,
QC92/42,Al-Bahihi International,P.O.Box913,Al-Shuwemiyah,,Dhofar,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
QC92/55,Al-Manwari International LLC,,Russayl,,Muscat,Oman,third-country,FFP,PP,,,PP - Processing Plant,,
