approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
12-C,Matadero De Chiriqui (MACHISA°,,David,,Provincia de Chiriquí,Panama,third-country,ABP-SH,,,,CAT3 - Category 3,,
19-C,Union Ganadera (UNGASA),,Santo Domingo,,Provincia de Los Santos,Panama,third-country,ABP-SH,,,,CAT3 - Category 3,,
1533,AMAGI,Panamá,Panama,,Provincia de Panamá; 9170963	13/04/2026,Panama,third-country,FFP,RV,,,RV - Reefer Vessel,,
1207,ASTRAEA,-,Panama,,Provincia de Panamá,Panama,third-country,FFP,FV,,,FV - Factory Vessel,,
2375,ATAHUALPA,"HANGAR 2D, AEROPUERTO MARCOS A. GELABERT",Panama,,Provincia de Panamá; 7124996	29/01/2026,Panama,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
957,AVUNDA REEFER,Panamá,Panama,,Provincia de Panamá; 9072824	01/04/2026,Panama,third-country,FFP,RV,,,RV - Reefer Vessel,,
295,Albacora Caribe,,Panama,,Provincia de Panamá; 8716825	22/06/2026,Panama,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
1105,"Alimentos Arel, S.A.",,Panama,,Provincia de Panamá,Panama,third-country,FFP,PP,,,PP - Processing Plant,,
1270,Almirante 1,,Panama,,Provincia de Panamá,Panama,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
919,"Bajamar Seafood, S.A.",-,Panama,,Provincia de Panamá,Panama,third-country,FFP,PP,,,PP - Processing Plant,,
1132,Bao Lucky,,Panama,,Provincia de Panamá,Panama,third-country,FFP,RV,,,RV - Reefer Vessel,,
871,Bao Win,-,Panama,,Provincia de Panamá,Panama,third-country,FFP,RV,,,RV - Reefer Vessel,,
421,Baraka,,Panama,,Provincia de Panamá,Panama,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
