approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
07TFV566,AMARYLLIS 88,"Frabelle (PNG) Limited P.O. Box 1255, Section 277, Lot 1, Speybank Street",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07FTPV195,FV Red Tulip 888 (Frabelle PNG Limited),"Section 277, Lot 1 Speybank Street",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
01TFV1392,FV Viva Bear 707,"United Bear Fishery (PNG) Limited, C/ Nambawan Seafoods PNG Limited, Portion 677, Busu Road, Malahang, Lae, Morobe Province, Papua New Guinea.",Lae,,"Morobe,Momase Region; 9400265	29/04/2024",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
01TFV1334,FV Viva Want Want 707,"United Jaguar Fishery PNG Limited, C/ Nambawan Seafoods PNG Limited, Portion 677, Busu Road, Malahang, Lae, Morobe Province, Papua New Guinea",Lae,,"Morobe,Momase Region; 9294628	04/12/2023",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07EST079,Frabelle (PNG) Limited,"P.O Box 1255, Selection 277, Lot1, Speybank Street, Lae City, Morobe Province 411",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
07TFV532,Gardenia 888 (Frabelle [PNG] Ltd.),,Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07TFV075,Golden Sapphire 88 (Frabelle [PNG] Ltd.),,Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07EPR039,International Food Corporation,"Portion 361, Busu Road, Malahang",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
07EPR5110,Majestic Seafood Corporation Ltd,"PO Box 3807,Portion 640, Busu Road, Malahang, Lae City, Morobe Province 411",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
07TFV076,Milflores 888 (Frabelle [PNG] Ltd.),,Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07EPR009,Nambawan Seafoods PNG Ltd.,"Nambawan Seafoods PNG Ltd., P.O Box 381, Portion 677, Busu Road, Malahang, Lae City, Morobe province, Papua New Guinea",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
07TFFV535,Niupelalip No.8 (Frabelle (PNG) Limited),"P.O Box 1255, Section 277, Lot 1, Speybank Street",Lae,,"Morobe,Momase Region; 8520185	12/06/2025",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07TFFV011,Purple Lilac 888 (Frabelle (PNG) Limited),"P.O Box 1255, Section 277, Lot 1, Speybank Street",Lae,,"Morobe,Momase Region",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
08PST032,RD Cold Storage (RDCS) Facility,,Madang,,"Madang,Momase Region",Papua New Guinea,third-country,FFP,CS,,,CS - Cold Stores,,
08EPR001,RD Tuna Canners Limited,"Portion 1004, Siar, North Coast Road,P.O BOX 2113, Madang 511",Madang,,"Madang,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
09EPR019,South Seas Tuna Corporation,"1 Wharf Road, PO BOX 543",Wewak,,"East Sepik,Momase Region",Papua New Guinea,third-country,FFP,PP,,,PP - Processing Plant,,
01TFV293,Viva Eagle 707,"Winmax Fishery (PNG) Limited, P.O. Box 262, Port Moresby, National Capital District, Papua New Guinea",Port Moresby,121,"Border Central-NCD,Papua Region; 8974398	24/03/2022",Papua New Guinea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
