approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
H290-PAI-EOPO,ECO PROYEC PERU S.A.C.,"ZONA INDUSTRIAL II, Mz. U, LOTE 1, SUB-LOTE 1b, DEL DISTRITO Y PROVINCIA DE PAITA, DEPARTAMENTO DE PIURA.",Paita,20701,"Paita,Piura",Peru,third-country,ABP-SH,,,,CAT3 - Category 3,,
H293-CHI-IVQI,INVERSIONES QUIAZA S.A.C.,"AV. LOS PESCADORES LOTES 5 Y 5-1 DE LA MZ. D, ZONA INDUSTRIAL GRAN TRAPECIO, DISTRITO DE CHIMBOTE, PROVINCIA DEL SANTA, DEPARTAMENTO DE ANCASH",Santa,,"Santa,Ancash",Peru,third-country,ABP-SH,,,,CAT3 - Category 3,,
H292-PAC-NGRF,NEGOCIOS RAFMAR S.A.C.,,Ilo,18601,"Ilo,Moquegua",Peru,third-country,ABP-SH,,,,CAT3 - Category 3,,
P301-CHI-APPS,A.P. PESCA S.R.L.,"PUEBLO JOVEN VILLA MARIA, MZ. V, LOTE 12A-13, DISTRITO DE NUEVO CHIMBOTE, PROVINCIA DE SANTA, DEPARTAMENTO DE ANCASH",Nuevo Chimbote,,"Santa,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P131-CAS-AUPS,ACUACULTURA Y PESCA S.A.C.,"AV. HABILITACIÓN URBANA-INDUSTRIAL, PREDIO 07509, SECTOR TABÓN BAJO, DISTRITO DE COMANDANTE NOEL, PROVINCIA DE CASMA, DEPARTAMENTO DE ANCASH",Comandante Noel,,"Casma,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
PA001-SEC-ACUI,ACUIBERLIN E.I.R.L.,ZONA INDUSTRIAL S/N,Sechura,20071,"Sechura,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P385-ING-AUAD,ACUICOLA ANDINA PERU S.A.C.,"PASAJE S/N Mz F, LOTE 2-B, DISTRITO INGENIO, PROVINCIA HUANCAYO, DEPARTAMENTO JUNIN.",Ingenio,,"Huancayo,Junín",Peru,third-country,FFP,PP,,,PP - Processing Plant,02/12/2024,
P271-SEC-ARDR,AGROFISHING Y DERIVADOS S.A.C.,"MZ. D SUB LOTE 2, ZONA INDUSTRIAL PARACHIQUE, DISTRITO Y PROVINCIA DE SECHURA, DEPARTAMENTO DE PIURA",Sechura,20071,"Sechura,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P177-CAL-AGRO,AGROHIDRO E.I.R.L.,"CALLE LUIS BANCHERO ROSSI No 193, Mz. I-7, Lotes 11 y 12, ZONA INDUSTRIAL DE VENTANILLA",Callao,,"Callao,Constitutional Province of Callao",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P305-SUL-ARCI,AGROINDUSTRIAS DEL CHIRA S.R.L.,"CALLE B, MZ. A1, LOTE 4, ZONA INDUSTRIAL MUNICIPAL N° 2, DISTRITO Y PROVINCIA DE SULLANA, DEPARTAMENTO DE PIURA.",Sullana,,"Sullana,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,12/01/2023,
P092-SUL-ARCI,AGROINDUSTRIAS DEL CHIRA S.R.L.,"PARQUE INDUSTRIAL MUNICIPAL Nº 2, Mz B, LOTE 1",Sullana,,"Sullana,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
PA042- AND-AEFO,ALEJANDRO RONALD FLORES DIAZ,"CALLE SANTA ROSA N° 285, DISTRITO DE SAN ANDRES, PROVINCIA DE PISCO, DEPARTAMENTO/REGION ICA",San Andres,,"Pisco,Ica",Peru,third-country,FFP,PP,,,PP - Processing Plant,04/01/2024,
A068-LIM-AFPR,ALFRIMAC PERU S.A.C.,"URB. PRO INDUSTRIAL, MZ. D, LOTE 10 - 11, 9º SECTOR, II ETAPA, DISTRITO DE SAN MARTIN DE PORRES, PROVINCIA Y DEPARTAMENTO DE LIMA.",San Martín de Porres,15109,"Lima,Lima",Peru,third-country,FFP,CS,,,CS - Cold Stores,31/05/2022,
A077-VEN-AFPR,ALFRIMAC PERU S.A.C.,"CALLE MICAELA BASTIDAS Nº 160, Mz. I-4, LOTE 16-21, ZONA INDUSTRIAL, DISTRITO DE VENTANILLA, PROVINCIA CONSTITUCIONAL DEL CALLAO.",Callao,,"Callao,Constitutional Province of Callao",Peru,third-country,FFP,CS,,,CS - Cold Stores,05/01/2024,
A447-LIM-AMFI,ALMACENES FRIO NARVAL S.A.C.,"AV. ARGENTINA N° 3101, DISTRITO, PROVINCIA Y DEPARTAMENTO LIMA.",Lima,15074,"Lima,Lima",Peru,third-country,FFP,CS,,,CS - Cold Stores,12/08/2022,
P313-PAI-ATFO,ALTAMAR FOODS PERU S.R.L.,"AV. INDUSTRIAL MZ. R, LT. 05, ZONA INDUSTRIAL II, DISTRITO Y PROVINCIA DE PAITA, DEPARTAMENTO DE PIURA",Paita,20701,"Paita,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
A410-PAI-ATFO,ALTAMAR FOODS PERU S.R.L.,"AV. INDUSTRIAL MZ. Q, LT 06, ZONA INDUSTRIAL II, DISTRITO PAITA, PROVINCIA PAITA, DEPARTAMENTO PIURA.",Paita,20701,"Paita,Piura",Peru,third-country,FFP,CS,,,CS - Cold Stores,31/05/2022,
PA094-SEC-AVCB,ALVARADO CABRERA SEGUNDO RUPERTO,"AA.HH. MICAELA BASTIDAS MZ. C, LOTE 15, DISTRITO Y PROVINCIA DE SECHURA, DEPARTAMENTO DE PIURA",Sechura,20071,"Sechura,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P190-LAN-AEQA,AMERICAN QUALITY AQUACULTURE S.A.C.,"CASERIO CHILACO-PELADOS, DISTRITO DE LANCONES",Sullana,,"Sullana,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P067-TAM-ANCH,ANCHOVETA S.A.C.,Av. Industrial N° 501,Tambo de Mora,,"Chincha,Ica",Peru,third-country,FFP,PP,,,PP - Processing Plant,26/01/2022,
P322-CHI-ANCH,ANCHOVETA S.A.C.,Av. Pescadores N° 586 Sec. Industrial 27 de Octubre,Chimbote,02800,"Santa,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,26/01/2022,
PA101-SAN-ADLG,ANDA LOGISTICS S.A.C.,"SECTOR SAN LUIS, CALLE SAN LUIS PARCELA Nº 7 – 7609000-152084, DISTRITO DE SANTA, PROVINCIA DEL SANTA, DEPARTAMENTO DE ANCASH",Santa,,"Santa,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,31/05/2022,
P236-CAL-ADDS,ANDINA DE DESARROLLO ANDESA S.A.C.,CALLE CARLOS CONCHA No 180 DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,Callao,,"Callao,Constitutional Province of Callao",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P172-CRU-AQUA,AQUANOVA S.A.C.,"PANAMERICANA NORTE KM. 1251, DISTRITO LA CRUZ, PROVINCIA Y DEPARTAMENTO DE TUMBES.",La Cruz,,"District of Tumbes,Tumbes",Peru,third-country,FFP,PP,,,PP - Processing Plant,04/02/2025,
P027-PAI-AMCN,ARMADORES Y CONGELADORES DEL PACIFICO S.A.,"AV. A, Nº 4041, MZ F, LOTE 01, ZONA INDUSTRIAL II, PROVINCIA DE PAITA, DEPARTAMENTO DE PIURA",Paita,20701,"Paita,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
A448-PIU-AEIV,ASESORIA E INVERSIONES MG S.R.L.,"ZONA INDUSTRIAL III MZ. I LOTE 019, DISTRITO DE VEINTISEIS DE OCTUBRE, PROVINCIA PIURA, DEPARTAMENTO PIURA.",Piura,20000,"Piura,Piura",Peru,third-country,FFP,CS,,,CS - Cold Stores,28/03/2022,
PA073-NUE-AOPO,"ASOCIACION DE PROCESADORES ARTESANALES DE PRODUCTOS HIDROBIOLOGICOS ""CHIMBOTE""","AVENIDA PERU, MANZANA V, LOTE 21 DEL PUEBLO JOVEN VILLA MARIA, PROVINCIA DEL SANTA",Nuevo Chimbote,,"Santa,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P060-COI-ASGO,AUSTRAL GROUP S.A.A.,"AV. VILLA DEL MAR Nº 785 DEL DISTRITO DE COISHCO, PROVINCIA DEL SANTA, DEPARTAMENTO DE ANCASH.",Coishco,,"Santa,Ancash",Peru,third-country,FFP,PP,,,PP - Processing Plant,22/05/2025,
P400-CAL-AUFO,AZUMA FOODS KAMPO PERU S.A.C.,CALLE CALCIO N° 119-125 URBANIZACIÓN GRIMANESA DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO.,Callao,,"Callao,Constitutional Province of Callao",Peru,third-country,FFP,PP,,,PP - Processing Plant,22/05/2023,
P232-SUL-ARPR,Agropesca Del Peru S.A.C.,"Mz. I, LOTES N° 7,8,9,10 y 11, ZONA INDUSTRIAL I-DISTRITO Y PROVINCIA DE SULLANA, DEPARTAMENTO DE PIURA",Sullana,,"Sullana,Piura",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
P171-AND-ALAM,Alamesa S.A.C.,"CALLE SAN MARTIN 115, SAN ANDRES, PISCO, ICA",San Andres,,"Pisco,Ica",Peru,third-country,FFP,PP,,,PP - Processing Plant,,
