approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2412832,7 Sea's Seafood Trading,"Urchida Drive, J. Johnsons St., San Jose Gusu",Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,11/04/2025,
1024,ALLFORWARD WAREHOUSING INC.,"Millennium Industrial Economic Zone, Purok Felomina, Barangay Calumpang,",General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,CS,,,CS - Cold Stores,25/09/2025,
2025-1422,AQUAASIA SEAFOOD INC.,"Purok Rosas Village Dinahican, Infanta,",Quezon,,"Quezon,Calabarzon",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,02/10/2025,
S-2024.001,AS-8 Buying Station,"Brgy. Panglima Alari, Sitangkai, Tawi-Tawi",Sitangkai,7506,"Tawi Tawi,Autonomous Region in Muslim Mindanao",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,11/04/2025,
FP-834,"Agri-Aquatic Care Enterprises, Inc.","Don Anselmo Bernad Ave., Manabay",Ozamiz City,,"Misamis Occidental,Northern Mindanao",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
1246,Alliance Select Foods International Inc.,Tambler,General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
FFP-781,Alsons Aquaculture Corporation,Maribulan,Alabel,9500,"Sarangani,Soccsksargen",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
1401,Anjo Farms Incorporated,San Fabian,San Fabian,2400,"Pangasinan,Ilocos Region",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
3000009013086,AquaAsia Seafood Inc.,"125, Dagatan, Taysan, Batangas",Taysan,4227,"Batangas,Calabarzon",Philippines,third-country,FFP,PP,,,PP - Processing Plant,22/09/2023,
3000001661203,Aquatic Ace Corporation,"Purok Orchids, La Paz, Naga Zamboanga Sibugay",Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,PP,,,PP - Processing Plant,04/05/2022,
3000007868323,"BIG GLORY BAY SALMON AND SEAFOOD COMPANY, INC.","Alliance MHI Compound, Tambler, General Santos City",General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,PP,,,PP - Processing Plant,13/04/2023,
FFP-2174,Barrio Fiesta Manufacturing Corporation,,Plaridel,3000,"Bulacan,Central Luzon",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
103-A,Bautista Seafood Trading,"Tugod, Inabanga, Bohol",Inabanga,6014,"Bohol,Central Visayas",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,11/04/2025,
2874,Bigfish Foods Corporation,Barangay Recodo,Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
FFP-1620,Bluefin Seafood Export Inc.,"Zagcor #88 Rajah Muda Mandi, Baliwasan Seaside",Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
1641,Bohol Agro Marine Development Corporation,,Tubigon,6016,"Bohol,Central Visayas",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
NF-23-00366,C.M. PANCHO CONSTRUCTION INC. (COLD STORAGE),"North Point Industrial Park 1, Plaridel Bypass Road, Brgy. Cut-cut, Guiguinto, Bulacan",Guiguinto,3004,"Bulacan,Central Luzon",Philippines,third-country,FFP,CS,,,CS - Cold Stores,05/04/2024,
1009,Celebes Canning Corporation,"Cabu, Tambler",General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
FPP-1130,"Century Pacific Food, Inc.",Dumagsa Talisayan,Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,PP,,,PP - Processing Plant,30/04/2024,
3000006053263,"Century Pacific Food, Inc.","Purok Lansong, Brgy. Tambler",General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,PP,,,PP - Processing Plant,04/03/2022,
1510,Crustacean Trading Corp.,#88 Rajah Mudah Mandi St.,Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
FFP-4044,D & L Seafoods,,Parañaque City,,Metro Manila,Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
NFH-09,D & L Seafoods (Buying Station),"Brgy. 7, Mamburao, Occidental Mindoro",Mamburao,5106,"Occidental Mindoro,Mimaropa",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,10/04/2025,
3000005539667,"DATAJ AQUAFARM, INC.","Sitio Curba, Barangay Buyun, Teresita, Cagayan Valley, Philippines",Santa Teresita,3512,"Cagayan,Cagayan Valley",Philippines,third-country,FFP,PP,,,PP - Processing Plant,05/12/2024,
2404546,Den-Den Buying Station,"Don Navarro, R.T. Lim Boulevard, Zamboanga City",Zamboanga City,,"Zamboanga del Sur,Zamboanga Peninsula",Philippines,third-country,FFP,WM,,,WM - Wholesale Market,11/04/2025,
139-03,E.M. Buenaventura Trading,,Caloocan City,,Metro Manila,Philippines,third-country,FFP,PP,,,PP - Processing Plant,,
FFP-769,ECA Cold Store Plus,Banisil,General Santos City,,"South Cotabato,Soccsksargen",Philippines,third-country,FFP,CS,,,CS - Cold Stores,,
00-0004298,F/V Belinda (Trans-Pacific Journey Fishing Corporation),"1094-A North Bay Boulevard, Navotas City",Navotas,1409,Metro Manila; 9108946	01/02/2024,Philippines,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2174,F/V Bernadette Marie (Trans Pacific Journey Fishing Corp.),,Manila,1002,Metro Manila; 8500446	28/03/2023,Philippines,third-country,FFP,RV,,,RV - Reefer Vessel,,
00-0002267,F/V Chenille (Starčki Venture Corporation),"Cabu, Bawing",General Santos City,,"South Cotabato,Soccsksargen; 8204585	24/09/2024",Philippines,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
