approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
30184104,"""AMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",ul. Stara Droga 1,Mikstat,63-510,"powiat ostrzeszowski,Greater Poland Voivodeship",Poland,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
PL 14030205,"""ARTUS II"" Spółka z o.o.",ul. Polikowska 8A,Maciejowice,08-480,"powiat garwoliński,Masovian Voivodeship",Poland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
10164201,"""BALTONA"" sp.j. ZAKŁAD PRODUKCJI MIĘSA B. W. Glonek","Mikołajów 4, 97-221 Rokiciny",Rokiciny,97-221,"powiat tomaszowski,Łódź Voivodeship",Poland,RM,CP,N,porcine,CP - Cutting Plant,,
14350107,"""CEZAR"" Spółka Jawna Handel-Produkcja-Usługi W.Zglecz, U.Wojtkowska i Wspólnicy",Kręgi Nowe 36,Wyszków,07-200,"powiat wyszkowski,Masovian Voivodeship",Poland,RM,SH,Y,porcine,SH - Slaughterhouse,,
30060306,"""CIĄDER"" MIĘSO - WĘDLINY S. C. A. WESOŁEK, M. FRĄCKOWIAK",Wilkowyja ul. Brandowskiego 41,Jarocin,63-200,"powiat jarociński,Greater Poland Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
10080209,"""JAMIR"" SOBIERAJ I WSPÓLNICY SPÓŁKA JAWNA",Bechcice-Parcela 21,Lutomiersk,95-083,"powiat pabianicki,Łódź Voivodeship",Poland,RM,SH,Y,porcine,SH - Slaughterhouse,,
10090302,"""LIWA"" Spółka Jawna Wawer & Wawer",ul. 1-go Maja 88,Pajęczno,98-330,"powiat pajęczański,Łódź Voivodeship",Poland,RM,CP,N,porcine,CP - Cutting Plant,,
18110220,"""MARTIKA"" Ubój i Przetwórstwo Mięsne Alina Jaje",ul. Witosa 13,Radomyśl Wielki,39-310,"powiat mielecki,Subcarpathian Voivodeship",Poland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
PL24060206,"""MASARNIA BOROWE"" J.B.Pluta Spółka Jawna","Borowe, ul. Długa 114",Węglowice,42-133,"powiat kłobucki,Silesian Voivodeship",Poland,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
30074202,"""MCKEEN-BEEF CP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",ul. Spółdzielców 13,Lisków,62-850,"powiat kaliski,Greater Poland Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
18040201,"""SOKOŁÓW"" S.A. Oddział w Jarosławiu",37-500 Jarosław ul. Przemysłowa 2,Jarosław,37-500,"powiat jarosławski,Subcarpathian Voivodeship",Poland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
30090201,"""SOKOŁÓW"" S.A. Oddział w Kole",ul. Toruńska 262,Koło,62-600,"powiat kolski,Greater Poland Voivodeship",Poland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
30094204,"""SOKOŁÓW"" S.A. Oddział w Kole ""Pork division""",ul. Toruńska 262,Koło,62-600,"powiat kolski,Greater Poland Voivodeship",Poland,RM,CP,N,porcine,CP - Cutting Plant,,
14290201,"""SOKOŁÓW"" S.A., ODDZIAŁ W SOKOŁOWIE PODLASKIM",Al. 550-lecia 1,Sokołów Podlaski,08-300,"powiat sokołowski,Masovian Voivodeship",Poland,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
PL10160317WE,"""STASIAK"" Zakład Przetwórstwa Mięsnego Zbigniew Stasiak",Maksymilianów 26,Rokiciny,97-221,"powiat tomaszowski,Łódź Voivodeship",Poland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
30210225,"""Sokołów"" SA Oddział w Robakowie",ul. Poznańska 14,Robakowo,62-023,"powiat poznański,Greater Poland Voivodeship",Poland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
06070302,"""Wędzarnia"" Zakład Produkcji Wędlin Tradycyjnych Leszek Skorupa",ul. Partyzantów 28,Urzędów,23-250,"powiat kraśnicki,Lublin Voivodeship",Poland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
14070101,A&Y BH 18 MEAT PRODUCER SP. z o.o.,Janików 62,Janików,26-900,"powiat kozienicki,Masovian Voivodeship",Poland,RM,SH,Y,,SH - Slaughterhouse,,
20023804,ABP POLAND Sp. z o.o.,ul. Sokołowska 32,Tykocin,16-080,"powiat białostocki,Podlaskie Voivodeship",Poland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
30140304,ABP POLAND Sp. z o.o.,Kłosowice 31,Sieraków,64-410,"powiat międzychodzki,Greater Poland Voivodeship",Poland,RM,CP,N,bovine,CP - Cutting Plant,,
30243801,ABP Poland Sp. z o. o.,ul. Wspólna 1,Pniewy,62-045,"powiat szamotulski,Greater Poland Voivodeship",Poland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
24173801,ACCORDO TRADE Sp. z o.o.,ul. Targowa 45,Milówka,34-360,"powiat żywiecki,Silesian Voivodeship",Poland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
10140101,AGAT Marciniak Sp.J.,Sędzimirowice 16,Błaszki,98-235,"powiat sieradzki,Łódź Voivodeship",Poland,RM,SH,Y,,SH - Slaughterhouse,,
14113803,AGRAIMPEX WĘGRZYNOWO Spółka z o.o.,Węgrzynowo 179 06-211 Płoniawy,Węgrzynowo,06-211,"powiat makowski,Masovian Voivodeship",Poland,RM,SH,Y,bovine,SH - Slaughterhouse,,
30130305,AGRO - RYDZYNA Spółka z o.o.,Kłoda ul. Kolejowa 7k,Rydzyna,64-130,"powiat leszczyński,Greater Poland Voivodeship",Poland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
PL28624303,AGRO MEAT Sp. z o.o.,Ul. Lubelska 46 B,Olsztyn,10-409,"Olsztyn,Warmian-Masurian Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
20130205,AGRO-MIĘS Babińscy Spółka Jawna,Kobylin Pogorzałki 25,Kobylin-Borzymy,18-204,"powiat wysokomazowiecki,Podlaskie Voivodeship",Poland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
02204201,"AGRO-TUSZ Sp. J. A. Okaj, J. Głodowski",Tarnowiec 92A,Zawonia,55-106,"powiat trzebnicki,Lower Silesian Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
PL06200203WE,AGROZAM Sp. z o.o.,Żdanów 41 D,Zamość,22-400,"Zamość,Lublin Voivodeship",Poland,RM,CP,N,porcine bovine,CP - Cutting Plant,,
12064206,"AL-EM Miernik s.c. Filip Miernik, Agnieszka Miernik",ul. Rzeźnicza 1,Skała,32-043,"powiat krakowski,Lesser Poland Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
14630601,ALBO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"ul. Lubelska 65, 26-600 Radom",Radom,26-600,"Radom,Masovian Voivodeship",Poland,RM,CP,N,porcine bovine,CP - Cutting Plant,,
30250205,AMG Mariusz Gunia,"Brzostek 5, 63-021 Śnieciska",Brzostek,63-021,"powiat średzki,Greater Poland Voivodeship",Poland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
28050201,ANIMEX FOODS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W EŁKU,ul. Suwalska 86,Elk,19-300,"powiat ełcki,Warmian-Masurian Voivodeship",Poland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
04060106,ANPOL Ubojnia Bydła i Trzody Roman Aniołkowski,Szembruk 43,Rogóźno,86-318,"powiat grudziądzki,Kuyavian-Pomeranian Voivodeship",Poland,RM,SH,Y,,SH - Slaughterhouse,,
PL12100113WE,"ANTOCEL Antoni Słaby, Handel Zwierzetami Rzeznymi I Uboj w spadku","ul. Jana Pawła II 115, Żeleźnikowa Wielka",Nawojowa,33-335,"powiat nowosądecki,Lesser Poland Voivodeship",Poland,RM,SH,Y,bovine,SH - Slaughterhouse,,
12063812,ANTONIO - M.S. NIEZABITOWSCY Sp.j.,"32-090 Słomniki, Prandocin Wysiołek 98A",Słomniki,32-090,"powiat krakowski,Lesser Poland Voivodeship",Poland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
10210301,AR - KOS Sp. z o.o.,Jordanów 45,Brzeziny,95-060,"powiat wieluński,Łódź Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
PL14620301,AUCHAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ul. Wyszogrodzka 140,Płock,09-410,"Płock,Masovian Voivodeship",Poland,RM,CP,N,ovine porcine bovine,CP - Cutting Plant,,
PL24750322WE,AUCHAN POLSKA Sp. z o.o. Centrum Handlowe Sosnowiec,ul. Zuzanny 20,Sosnowiec,41-219,"Sosnowiec,Silesian Voivodeship",Poland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
14650361,AUCHAN Polska Sp. z o. o.,ul. Modlińska 8,Warsaw,03-216,"Warszawa,Masovian Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
14650359,AUCHAN Polska Sp.zo.o. ul. Górczewska Warszawa,ul. Górczewska 124,Warsaw,02-460,"Warszawa,Masovian Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
24094202,Agraimpex Rzeniszów sp. z o.o.,Rzeniszów ul. Zielona 21,"Koziegłowy, Silesian Voivodeship",42-350,"powiat myszkowski,Silesian Voivodeship",Poland,RM,CP,N,,CP - Cutting Plant,,
10203802,Agraimpex Stryków Sp. z o.o.,"Niesułków 72, 95-010 Stryków",Stryków,95-010,"powiat zgierski,Łódź Voivodeship",Poland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
30110209,Agro-Handel Sp. z o.o.,Mościszki 18,Krzywiń,64-010,"powiat kościański,Greater Poland Voivodeship",Poland,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
30264201,"Agro-Handel Sp. z o.o. Mościszki 18, 64-010 Krzywiń, Oddział w Olszy","Olsza 29, 63-100 Śrem",Olsza,63-100,"powiat śremski,Greater Poland Voivodeship",Poland,RM,CP,N,bovine porcine,CP - Cutting Plant,,
30290603,Alibaba Sp. z o.o.,ul. Winnice 26,Kopanica,64-225,"powiat wolsztyński,Greater Poland Voivodeship",Poland,RM,CP,N,bovine,CP - Cutting Plant,,
18090201,"Andrzej Pelc F.P.H.U. ""Na Złotej"" Masarnia Sucha Wola",Sucha Wola 21,Oleszyce,37-630,"powiat lubaczowski,Subcarpathian Voivodeship",Poland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
PL10023802WE,Animex Foods Sp. z o.o. oddział K4 w Kutnie,Wschodnia 21,Kutno,99-300,"Kutno County,Łódź Voivodeship",Poland,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
