approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
V 3181,"A.F.J.P.- Comércio de Leitões de Negrais, Lda.","Rua dos Serrados, 26-Negrais",Almargem do Bispo,2715-398,"Grande Lisboa,Área Metropolitana de Lisboa",Portugal,RM,SH,Y,,SH - Slaughterhouse,,
D 426,"ADALMA-Indústria de Carnes, Lda","Rua Carvalha, 21",Ribeirão,4760-725,"Ave,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
D 404,"Alfredo da Silva Barbosa, Lda","Rua Central do Olival, 184",Olival Vila Nova de Gaia,4415-726,"Área Metropolitana do Porto,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
N 3693,"Amazing Purple, Unipessoal, Lda.","Rua Ponte Pedrinha, n.º 84",Vila Nova de Famalicão,4770-323,"Ave,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
L 967,Armazéns Marvanejo,"Avenida Dia de Portugal nº63, Apartado 257",Elvas,7350-082,"Alto Alentejo,Alentejo",Portugal,RM,CP,N,,CP - Cutting Plant,,
B 174,"Augusto Virgílio de Sousa e Filhos, Lda",Peneireiro - Aguim,"Tamengos, Aguim e Óis do Bairro",3050-566,"Baixo Vouga,Centro",Portugal,RM,SH,Y,,SH - Slaughterhouse,,
D 83,"BRACAR - Indústria de Carnes, Lda","Av. Santiago de Gavião, 2176",Gavião,4760-732,"Ave,North",Portugal,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
D 917,"BURGALMEAT - Industria de Carnes, Lda.","Rua da Indústria, Lote 14, N.os 130/140 - 4440-230 Valongo",Campo,4440-038,"Tâmega e Sousa,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
T 31,"Beira Lamego II, Comercial Lda.",Lugar do Serradouro,Mondim da Beira,3610-130,"Viseu Dão-Lafões,Centro",Portugal,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
TTR 608,"Bísaro-Salsicharia Tradicional, Lda","Rua Coronel Álvaro Cepeda, n.º 1 - Gimonde 5300-553 Bragança",Bragança,5300-592,"Terras de Trás-os-Montes,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
N 3140,CARNES MEIRELES DO MINHO SA,"RUA DO CAULINO, LOTE 33, NR 117 - Alfena",Valongo,4440-544,"Tâmega e Sousa,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
N 936,"CARSIVA - Entreposto Comercial de Carnes, Lda","Rua S. Tiago de Fontão, 2351 - Fontão",Ponte de Lima,4990-630,"Alto Minho,North",Portugal,RM,CP,N,,CP - Cutting Plant,,
R 09,"CASO-CENTRO AB. SUIN. OESTE, SA","QUINTA DO MUNHOZ, 2665-314 MILHARADO",Milharado,2665-310,"Grande Lisboa,Área Metropolitana de Lisboa",Portugal,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
B 330,CCEL - CASA DAS CARNES DO ERVEDAL LDA,"Rua de Quiaios,3 Ervedal 3080-513 QUIAIOS",Figueira da Foz,3080-118,"Baixo Mondego,Centro",Portugal,RM,CP,N,,CP - Cutting Plant,,
