approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
323,ABATORUL CAMPULUNG SRL,"Str. Mihai Eminescu, nr. 14",Câmpulung,115100,Argeș,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
EC 591,ABATORUL PERIS SA,"punct de lucru Abator Niculesti, Niculesti, jud Dambovita",Niculești,137330,Dâmbovița,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
116,AL SYDRA,Apoldu de Sus FN,Apoldu de Sus,557151,Sibiu,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
RO34557805,ALSIM MEAT DISTRIBUTION,"Dumbraveni, Suceava",Suceava,720225,Suceava,Romania,EU-EFTA,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
RO 710 CE,ANEROL FRESH SRL,"Str. Americii, nr. 45",Oradea,410000,Bihor,Romania,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
413,ANF MANAGEMENT SRL,str. STRAUB FERENC-BRUNO NR.5,Oradea,410085,Bihor,Romania,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
80,ARA VIEW SA,"Ucea de Jos,Nr.1A,Jud.Brasov",Ucea de Jos,507238,Brașov,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
340,AURORA COM SRL,"Str. LIBERTATII, NR. 38, Judetul VRANCEA",Odobești,625300,Vrancea,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
RO 306,AVA STAR SRL,DJ 208C,Roșcani,727337,Suceava,Romania,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
11375/26.06.2019,AVI GIIS SRL RO 133,"sat Stupărei, str. Abatorului, nr. 6",Mihăești,247375,Vâlcea,Romania,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
318/16.12.2022,AYT HALAL MEAT PROVIDER SRL,"Sos. Oltenitei, nr. 204A, tarla 19, parcela 367, Ilfov",Leordeni,010051,Ilfov,Romania,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9724260,BANIPOR SRL,"sat Targsorul Nou, T92, P474/49",Ariceștii Rahtivani,107025,Prahova,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
35951726,BARBARUL SRL,"NOJAG, 1A",Deva,330000,Hunedoara,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
25 din 15.06.2021,BIO ELISIRIA SRL,"Tarlaua 8, Parcela 9, Județul Dolj",Podari,207465,Dolj,Romania,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
RO 462,BRUTUS IMPEX SRL,"Str. Abatorului, nr. 345",Mănești,100537,Prahova,Romania,EU-EFTA,RM,SH,Y,porcine,SH - Slaughterhouse,,
ASV 268/04.01.2023 - RO 381 CE,CARNA CARPATICA SRL,"Str. Calea Dejului, nr. 2",Podirei,427299,Bistrița-Năsăud,Romania,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
RO0448549025 / 186,CASA DE COMENZI COOP SRL,"STR.CI PARHON. NR.15B,MUNICIPIUL RM SARAT, JUD.BUZAU",Râmnicu Sărat,125300,Buzău,Romania,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
662 EC,CATHEDRAL DISTRIBUTION SRL,"ODOBESTI, EXTRAVILAN : T-117, P-2961, jud. Vrancea",Odobești,625300,Vrancea,Romania,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
