approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
32/4,Bryansk Meat Company (LLC),"39 km highway M-13, building 2",Vigonichi,,"Bryansk Oblast,Central Federal District",Russia,third-country,ABP-SH,,,,CAT2 - Category 2 | CAT3 - Category 3,,
31/1,"CJSC ""SK Korocha""",Pogorelovskoe rural settlement,Korocha,,"Belgorod Oblast,Central Federal District",Russia,third-country,ABP-SH,,,,CAT2 - Category 2 | CAT3 - Category 3,,
RU-089/MP00553,"LLC ""Agrocomplex Tazovsky""",629371 Antipayuta Yamal-Nenets autonomous district,Антипаюта,,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
RU-089/GF01721,LLC Sovkhoz Verkhnepurovsky,"Russia, Yamal-Nenzen autonomous district, Lenina str. 17b 629850 Tarko-Sale",Tarko-Sale,629850,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
1MK-89/3,"Municipal Unitary Enterprise ""Meat-Processing Complex ""Payuta""",ul. Pervomayskaya 24,Aksarka,,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
RU-089/VE16509,"OOO ""Vozrozhdenie""","Nadymskiy rayon, s. Nyda",Nyda,,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
164/01,"OOO ""ZETAS-LIFT""",Saratov,Saratov,410000,"Saratov Oblast,Volga Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
1MK-89/2,Slaughter Cold-store Complex 'Yuribeisky' Of The Municipal Enterprise 'Yamal Deer',,Yuribey,,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,,
1mk-89/1,Yamal Deer,"Sovetskaya str., 62.",Yar-Sale,,"Yamalo-Nenets Autonomous Okrug,Ural Federal District",Russia,third-country,ABP-SH,,,,CAT3 - Category 3,17/02/2022,
35L,"""Akva-Nord"" Ltd.",2 km of Motorway Severomorsk - Severomorsk 3,Severomorsk,184600,"Murmansk Oblast,Northwestern Federal District",Russia,third-country,FFP,PP,,,PP - Processing Plant,,
80P,"""Aprelskoe"" Ltd",,Suvorovo,,"Autonomous Republic of Crimea,South federal district",Russia,third-country,FFP,PP,,,PP - Processing Plant,,
97P,"""Apukinskoye"" Co., Ltd. (Fish Processing Plant)","3, Morskaya str.",Apuka,,"Kamchatka Krai,Far Eastern Federal District",Russia,third-country,FFP,PP,,,PP - Processing Plant,,
36K,"""Arena"" Co., Ltd.","bld. 15.1/12, Slavyanskya/Rybinskaya str.",Astrakhan,414000,"Astrakhan Oblast,South federal district",Russia,third-country,FFP,PP,,,PP - Processing Plant,,
