approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
122/AN/97,ACACIA (SENECRUST),"Quai de Peche, Mole 10",Dakar,00000,Dakar,Senegal,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
004/19/CE,AFRIFISH,Diamniadio,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
001/18/C,AFRIOCEAN,SEBIPONTY,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
009/97/C,AHG HOLDING SARL,"Kiniabou, Route de Popenguine, Commune de Sindia",Sindia,20001,Thiès Region,Senegal,third-country,FFP,PP,,,PP - Processing Plant,18/07/2022,
001/12/CE,ALBATROS PECHE SUARL,,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
003/14/CE,AM FISH,,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
021/19/CB,AUDREY (SOPASEN),Quai de Peche Mole 10,Dakar,00000,Dakar,Senegal,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
001/AA/95,Adrimex II (Groupe Adrien Michel (Sopasen)),,Dakar,00000,Dakar,Senegal,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
003/15/CE,Africa Cold,,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
006/03/C,Africa Fish,"Km 24, route de Rufisque - Sénégal, BP : 17291 Dakar Liberté",Rufisque,20896,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
001/09/CE,Africa Fishing,,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
007/96/C,Afrimex,BP: 12163 – DAKAR,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
033/03/C,Al Makaru Al Asma,,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
003/91/C,Amerger Casamance,Bel air BP 3348,Dakar,00000,Dakar,Senegal,third-country,FFP,PP,,,PP - Processing Plant,,
