approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
06017,ANCORA NUOVA DOO,"Surčin, Dobanovci",Dobanovci,11000,"Belgrade,Central Serbia",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
20807,BILJE BORCA DOO BEOGRAD,"Prelevacka 98, Borca",Beograd (Palilula),,Grad Beograd,Serbia,third-country,FFP,CS,,,CS - Cold Stores,06/10/2022,
64,CARNEX DOO VRBAS,Kulski put 26,Vrbas,21460,"South Backa District,Vojvodina",Serbia,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
06031,DOO ALPIS KOVIN,Dunavska 77,Kovin,,"South Banat District,Vojvodina",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
06021,DOO VASOVIC EKSPORT IMPORT CACAK,Place Konjevici Kat.par.no 2/1,Cacak,32000,"Moravica District,Central Serbia",Serbia,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
06029,DUOMEDIA DOO BEOGRAD OGRANAK NIS,"Kat. Par. br. 17963/1, 17962/7, 17962/2 - Nic Cele Kula",Nis,,"Nisava District,Central Serbia",Serbia,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
20454,FRIKOM DOO,Autoput 11,Beograd (Novi Beograd),,Grad Beograd,Serbia,third-country,FFP,CS,,,CS - Cold Stores,,
06026,KRISTAL SO DOO BEOGRAD,,Krnjesevci,22314,"Syrmia District,Vojvodina",Serbia,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
06022,"LOVO PROMET DOO, CAMURLIJSKI PUT BB",Camurlijski put bb,Nis,,"Nisava District,Central Serbia",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
1005,MATIJEVIC NOVI SAD,"Rumenicki put, No. 86",Novi Sad,21000,"South Backa District,Vojvodina",Serbia,third-country,FFP,PP,,,PP - Processing Plant,19/07/2023,
127,NEOPLANTA DOO NOVI SAD,Primorska no. 90,Novi Sad,21000,"South Backa District,Vojvodina",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
9004,PRINCIPAL DUO CACAK,Djakona Avakuma bb,Cacak,32000,"Moravica District,Central Serbia",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
20514,Principal Duo DOO,,Sopot,18300,"Pirot District,Central Serbia",Serbia,third-country,FFP,CS,,,CS - Cold Stores,,
06003,TROPIC TRADE DOO,Partijarha Joanikia no. 2,Rakovica Municipality,11090,"Belgrade,Central Serbia",Serbia,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,04/01/2022,
RS1,Yuhor d.o.o,Kablovska no.29,Jagodina,35000,"Pomoravlje District,Central Serbia",Serbia,third-country,FFP,PP,,,PP - Processing Plant,12/08/2026,
542,AGRO-PAPUK,"Kukujevci, Kat.par.4345",Šid,22239,"Syrmia District,Vojvodina; 14 Pigmeat intended solely for the manufacture of meat products on own territory",Serbia,third-country,RM,CS SH CP,Y,caprine ovine bovine porcine,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
