approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SC/FV/022,Artza,"Atunsa Inc, C/O Seaward C. (Pty) Ltd. PO Box 5060, Victoria, Mahe.",Victoria,,Mahé; 9202144	21/04/2026,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
SC/FV/034,Beti Aurrera,"Isabella Fishing Ltd (Company No.114557) C/O Victoria Corporate Agents (Proprietary) Limited Suite 108 Premier Building, P.O Box 343 Victoria, Mahe Seychelles",Victoria,,Mahé; 9228162	20/02/2025,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CS1221,Central Common Cold Store LTD,"Mariners Road, Ile Du Port, P.O Box 1401 Mahe, Seychelles",Port Victoria,,Mahé,Seychelles,third-country,FFP,CS,,,CS - Cold Stores,11/02/2022,
SC/FV/024,Draco,"ISABELLA FISHING LIMITED (Company No.114557) SUITE 108, PREMIER BUILDING VICTORIA, MAHE REPUBLIC OF SEYCHELLES",Victoria,,Mahé; 9335226	27/05/2024,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SC/FV/037,Egalabur,"Atunsa Inc. (Company No.013693) C/O Sterling Trust & Fiduciary Limited F20, 1st Floor, Eden Plaza Eden Island, Mahe Seychelles",Victoria,,Mahé; 9710995	11/08/2025,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
SC/FV/033,Euskadi Alai,"HARTSWATER LIMITED C/O HUNT DELTEL AND CO LTD P.O. BOX 14, VICTORIA MAHE – SEYCHELLES",Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
F.F.18,Fishtech Pty Ltd,-,Anse Royale,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,,
F.F.05,Fresh Seafood Seychelles Pty Ltd,,Providence Artisanal Fishing Port,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,,
SC/FV/027,Galerna II,"ISABELLA FISHING LTD (Company NO.114557) SUITE 108, PREMIER BUILDING VICTORIA, MAHE REPUBLIC OF SEYCHELLES",Victoria,,Mahé; 9663154	05/06/2024,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
SC/FV/028,Galerna III,"ISABELLA FISHING LTD(Company No.114557) SUITE 108, PREMIER BUILDING VICTORIA, MAHE REPUBLIC OF SEYCHELLES",Victoria,,Mahé; 9663166	29/07/2025,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
SC/FV/039,Guayatuna Uno,"Interatun Ltd C/O Victoria Corporate Agents (PTY) Ltd Suite 108, Premiere Building P.O Box 343, Victoria, Mahe Seychelles",Victoria,,Mahé; 8107476	27/05/2026,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FC01,Indian Ocean Tuna Ltd,"MW BRANDS Seychelles Limited, P.O Box 676, Fishing Port, Victoria, Mahe",Victoria,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,13/07/2026,
SC/FV/026,Izaro,"HARTSWATER LIMITED, C/O HUNT DELTEL & CO LTD, P.O BOX 14, MAHE",Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
F.F.14,JHL Group (Pty) Ltd,"T/As Amirante Fisheries Providence Industrial Estate P.O Box 1671 Victoria, Mahe, Seychelles",Victoria,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,21/06/2022,
SC/FV030,Jai Alai,"Harstwater Ltd, C/O Hunt Deltel & CO. Ltd, P.O Box 117, Mahe",Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SC/FV/038,Newfoundland Alert,"Nautilus Fishing Company C/O A.C.T Offshore Limited 1st Floor Oliaji Trade Centre Victoria, Mahe, Seychelles",Victoria,,Mahé; 8712441	20/10/2025,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZVLL02,OCEAN 2,-,Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZVLLO3,OCEAN 3,-,Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZVLLO5,OCEAN 5,-,Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
S.F.005,Ocean Basket (Seychelles) Pty Ltd,Providence Artisanal Fishing Port,Mahe,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,,
F.F.07,Oceana Fisheries Co. Ltd,P.O. Box 71,Victoria,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,,
SC/FV/025,Playa De Anzoras,"Beach Fishing Ltd C/o International Law & Corporate Services (Pty) Ltd 2nd Floor Allied Building Annex Francis Rachel Street P.o Box 1137 Victoria, Mahe Seychelles",Mahe,,Mahé; 9176917	16/04/2025,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SC/FV/035,Playa De Azkorri,"Beach Fishing Ltd 2nd Allied Building annex Francis Rachel ST, Mahe, Seychelles",Victoria,,Mahé; 9476111	10/03/2023,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
SC/FV/036,Playa De Laida,"Beach Fishing Ltd Allied Building, 2nd Floor Rue De La Possesion Victoria, Mahe, Seychelles",Victoria,,Mahé; 9719812	10/03/2025,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
F.F.20,RASSFish Pty Ltd,"Anse La mouche Mahe, Seychelles",Victoria,,Mahé,Seychelles,third-country,FFP,PP,,,PP - Processing Plant,21/06/2022,
SC/FV/021,Txori Aundi (Inpesca Fishing Ltd),,Victoria,,Mahé,Seychelles,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SC/FV/032,Txori Toki,Inpesca Fishing Ltd C/O Seaward C. (Pty) Ltd,Victoria,,Mahé; 9196682	04/03/2022,Seychelles,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
