approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
31645496,"AGRO - IPEĽ,spol.s.r.o.",Holiša 207,01 Holiša,984,"Region of Banská Bystrica,Central Slovakia",Slovakia,EU-EFTA,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
6057,"AGRO HN, s. r. o.",Sebechleby 418,66 Sebechleby,962,"Region of Banská Bystrica,Central Slovakia",Slovakia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
SK 7107 ES,"AGRO-HNIEZDNE, s.r.o. - Hospodársky dvor Forbasy",Forbasy,01 Forbasy,065,"Region of Prešov,Eastern Slovakia",Slovakia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
SK 3082 ES,"AGROFARMA, spol. s.r.o.",Komenského 673/49,01 Púchov,020,"Region of Trenčín,Western Slovakia",Slovakia,EU-EFTA,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
SK 45 ES,"AGROKOMBINÁT, akciová spoločnosť, Sabinov","Jilemnického 5, Sabinov",01 Sabinov,083,"Region of Prešov,Eastern Slovakia",Slovakia,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
6044,"AGROSEV, spol. s r. o.",Pstruša 801,01 Vígľaš,962,"Region of Banská Bystrica,Central Slovakia",Slovakia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
7035L,"AGROZAMI, spol. s r.o.",Tvarožná 155,71 Tvarožná,059,"Region of Prešov,Eastern Slovakia",Slovakia,EU-EFTA,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
SK 7020 ES,ALTHAN s.r.o.,Chemlonská 1,01 District of Humenné,066,"Region of Prešov,Eastern Slovakia",Slovakia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
6104,"AMEON s.r.o.,",Pôtor345,03 Pôtor,991,"Region of Banská Bystrica,Central Slovakia",Slovakia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
6119 L,Agrobell s. r. o.,"Sládkovičova 8, 962 31 Sliač",31 Sliač,962,"Region of Banská Bystrica,Central Slovakia",Slovakia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1081,Arpád Albert Bitúnok Senec,Trnavská 16,01 Senec,903,Region of Bratislava,Slovakia,EU-EFTA,RM,CP SH,Y,porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
SK 3062 ES,BARTOŠEK s. r. o.,SNP 1650,01 Považská Bystrica,017,"Region of Trenčín,Western Slovakia",Slovakia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
SK 5024 ES,"BARTOŠEK, s.r.o.",A. Hlinku 27,Čadca,02201,"Region of Žilina,Central Slovakia",Slovakia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
7069L,"BIOFARMA ŠUŇAVA, družstvo",ŠUŇAVA 513,39 Šuňava,059,"Region of Prešov,Eastern Slovakia",Slovakia,EU-EFTA,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
SK 8111 ES,BRUTUS s.r.o. Trebišov,Mestský park 262/66,01 Trebišov,075,"Region of Košice,Eastern Slovakia",Slovakia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
