approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SI 1094 ES,"""Šprahova Klavnica"" MUNDA DRAGICA",SODINCI 32A,Velika Nedelja,2274,Podravska,Slovenia,EU-EFTA,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 1325,A - MARKET Aleksandra Kocijančič d.o.o.,NEBLO 2,Dobrovo v Brdih,5212,Goriška,Slovenia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
SI 1127,AGROTUR D.O.O.,LJUBNO 107,Podnart,4244,Upper Carniola Statistical Region,Slovenia,EU-EFTA,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
SI 1044,"ALEGRO LEOPOLD, KLAVNICA ALEGRO",GOLOBINJEK OB SOTLI 10,Podčetrtek,3254,Savinja Statistical Region,Slovenia,EU-EFTA,RM,SH,Y,bovine,SH - Slaughterhouse,,
SI 1273,"ALJAŽ ŽILNIK S.P., PREDELOVALNI OBRAT TABOR",TABOR 45,Tabor,3304,Savinja Statistical Region,Slovenia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
SI 1143 ES,"ANDREJ LOKAR S.P., Mesarstvo Andrej Lokar S.p.",DEBENEC 61,Mirna,8233,Jugovzhodna Slovenija,Slovenia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine equine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 1453,ATLAS PREDELAVA,IŽANSKA CESTA 43,Ljubljana,1000,Osrednjeslovenska,Slovenia,EU-EFTA,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
1092,"Andreja Milavec s.p., Mesnine Zajc",Planina 41,Planina,6232,Littoral–Inner Carniola Region,Slovenia,EU-EFTA,RM,CP,N,bovine porcine equine,CP - Cutting Plant,,
SI 780,BAHOR ZDRAVKO,DRAGOVANJA VAS 15,Dragatuš,8343,Jugovzhodna Slovenija,Slovenia,EU-EFTA,RM,SH,Y,caprine ovine porcine,SH - Slaughterhouse,,
SI 1248,"BANOVŠEK BRANKA, KLAVNICA NA KMETIJI BANOVŠEK",PONIKVA PRI ŽALCU 23,Žalec,1431,Savinja Statistical Region,Slovenia,EU-EFTA,RM,SH,Y,porcine bovine,SH - Slaughterhouse,,
1087,"BIO DOBROTE d.o.o., Predelava mesa Žgajnar",Studenec 28,Postojna,6230,Littoral–Inner Carniola Region,Slovenia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
SI 952,"BROLIH JANEZ, PR´ KRŽAJ",Hotemaže 31,Preddvor,4205,Upper Carniola Statistical Region,Slovenia,EU-EFTA,RM,SH,Y,porcine caprine ovine,SH - Slaughterhouse,,
SI 1282 ES,"BRULC ALEŠ, Klavnica Brulc",MOVERNA VAS 8,Semič,8333,Jugovzhodna Slovenija,Slovenia,EU-EFTA,RM,SH,Y,caprine ovine porcine,SH - Slaughterhouse,,
SI 1130,CELJSKE MESNINE D.D.,ŽNIDARČIČEVA ULICA 5,Šempeter pri Gorici,5290,Goriška,Slovenia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
SI 1099,CELJSKE MESNINE D.O.O. OBRAT PE DISKONT,Cesta v Trnovlje 10,Celje,3000,Savinja Statistical Region,Slovenia,EU-EFTA,RM,CP,N,porcine bovine,CP - Cutting Plant,,
SI 1059,"CIGOJ MIHA, KLAVNICA CIGOJ",ČRNIČE 91,Črniče,5262,Goriška,Slovenia,EU-EFTA,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 1051 ES,CIMERMAN ROK,STOJNCI 84,Markovci,2281,Podravska,Slovenia,EU-EFTA,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
SI 1092,"CVETKO MILAVEC, KMETIJA ZAJC MPT",PLANINA 41,Planina,6232,Littoral–Inner Carniola Region,Slovenia,EU-EFTA,RM,CP,N,equine porcine bovine,CP - Cutting Plant,,
SI 103,Celjske Mesnine D.o.o.,Cesta v Trnovlje 17,Celje,3000,Savinja Statistical Region,Slovenia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 1224,"DAMIJAN EMERŠIČ S.P., DOMAČA MESNICA",VODOVODNA ULICA 2,Selnica ob Dravi,2352,Podravska,Slovenia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
SI 1216,DAMIJAN OBREHT S.P.,MARIBORSKA ULICA 10A,Zgornja Polskava,2314,Podravska,Slovenia,EU-EFTA,RM,CP,N,equine bovine porcine,CP - Cutting Plant,,
1062,"DAMIJAN ŠTEMBERGER S.P., KLAVNICA VRBICA",VRBICA 2F,Ilirska Bistrica,6250,Littoral–Inner Carniola Region,Slovenia,EU-EFTA,RM,CP SH,Y,ovine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 1179,DECARNIS D.O.O.,VIPAVSKA CESTA 12,Nova Gorica,5000,Goriška,Slovenia,EU-EFTA,RM,CP,N,porcine equine bovine ovine caprine,CP - Cutting Plant,,
1267,DENIS MURIĆ S.P.,SAVLJE 74,Ljubljana,1000,Osrednjeslovenska,Slovenia,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
SI 1337,DOBROTE Z VASI D.O.O.,BREZJE PRI GROSUPLJEM 30,Grosuplje,1290,Osrednjeslovenska,Slovenia,EU-EFTA,RM,CP,N,bovine equine porcine,CP - Cutting Plant,,
SI 66,DOMAČE MESNINE D.O.O.,GRADIŠČE 2,Slovenska Bistrica,2317,Podravska,Slovenia,EU-EFTA,RM,CP,N,ovine bovine porcine equine caprine,CP - Cutting Plant,,
SI 1335,"DRUŠTVO REJCEV DROBNICE ZGORNJEGA POSOČJA, SOČNA PREDELAVA MESA DREŽNICA",DREŽNICA 41A,Kobarid,5222,Goriška,Slovenia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
SI 966,DRUŽINSKA KMETIJA KRAMBERGER - ŠTEINBAUER,SPODNJI PORČIČ 20,Lenart,2230,Podravska,Slovenia,EU-EFTA,RM,CP SH,Y,bovine ovine porcine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
SI 963 ES,"DUŠAN CVITKOVIČ, KLAVNICA DUŠAN CVITKOVIČ",VELIKA LAHINJA 4,Črnomelj,8340,Jugovzhodna Slovenija,Slovenia,EU-EFTA,RM,SH,Y,caprine ovine porcine,SH - Slaughterhouse,,
SI 831,"ENGROTUŠ D.O.O., TUŠ CASH&CARRY CELJE",KIDRIČEVA ULICA 30,Celje,3000,Savinja Statistical Region,Slovenia,EU-EFTA,RM,CP,N,ovine caprine porcine bovine,CP - Cutting Plant,,
SI 1080,"ENGROTUŠ D.O.O., TUŠ CASH&CARRY MARIBOR",TRŽAŠKA CESTA 25,Maribor,2000,Podravska,Slovenia,EU-EFTA,RM,CP,N,ovine porcine bovine caprine,CP - Cutting Plant,,
1068,"ENGROTUŠ D.O.O., TUŠ Cash & Carry LJUBLJANA",LESKOVŠKOVA CESTA 8,Ljubljana,1000,Osrednjeslovenska,Slovenia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
