approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SI-02-01-004-NFKCS1,Kitano Cold Store,"P.O.Box 717, Noro, Western Province",Noro,,Western Province,Solomon Islands,third-country,FFP,CS,,,CS - Cold Stores,,
SI-09-01-009V301,SOUTHERN SEAS 301,,Honiara,,Capital Territory,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-09-01-009V302,SOUTHERN SEAS 302,"Mbokona Bay, Point Cruz, P.O. Box 2211, Honiara, Solomon Islands",Honiara,,Capital Territory,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-09-01-009V303,SOUTHERN SEAS 303,"Mbokona Bay, Point Cruz, P.O. Box 2211, Honiara, Solomon Islands",Honiara,,Capital Territory,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-004-VSA1,Solomon Amber National Fisheries Development Ltd C/- P.O.Box 717,"P.O.Box 717, Honiara",Honiara,,Capital Territory; 8748361	28/11/2025,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SL-02-01-004-VSE1,Solomon Emerald (National Fisheries Development Ltd),"P.O.Box 717,Noro",Noro,,Western Province,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-004-VSJ1,Solomon Jade (National Fisheries Development Ltd),"P.O.Box 717,Noro",Noro,,Western Province,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-004-VSO1,Solomon Opal (National Fisheries Development Ltd),"P.O.Box 717,Noro",Noro,,Western Province,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-004-VSP1,Solomon Pearl (National Fisheries Development Ltd),,Noro,,Western Province,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-004-VSR1,Solomon Ruby (National Fisheries Development Ltd),,Noro,,Western Province,Solomon Islands,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SI-02-01-001,Soltuna Limited,"P.O.BOX 83, MUNDA, 1 TUNA DRIVE, NORO WESTERN PROVINCE, SOLOMON ISLANDS",Noro,,Western Province,Solomon Islands,third-country,FFP,PP,,,PP - Processing Plant,27/04/2026,
