approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
Y1,"""Beatrice Marine"" (Amawandle Hake (Pty) Ltd)","7th Floor, Oceana House, 25 Jan Smuts Str, Foreshore Cape Town, 8001",Cape Town,1741,Western Cape; 8704664	22/10/2025,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TB,"""Cape Challenger"" - (Cape Challenger Pty Ltd)","Spaces 1 Bridgeway Precinct, Century City, Cape Town",Cape Town,7441,Western Cape; 7385289	18/10/2024,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
RA,"""Cape Fish 1"" - E. W Smith Fishing CC",,Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VS,"""Compass Challenger"" (Compass Trawling (Pty) Ltd)",,Cape Town,1741,Western Cape; 8106836	26/03/2025,South Africa,third-country,FFP,FV,,,FV - Factory Vessel,,
VB,"""Harvest Veronica"" (Sea Harvest Corporation (Pty) Ltd)","Fishing Harbour Government Jetty, Saldanha Rd",Saldanha,7395,Western Cape,South Africa,third-country,FFP,FV,,,FV - Factory Vessel,,
R7,"""I DO"" - (Dyer Eiland Visserye (Edms) Bpk)",,Cape Town,1741,Western Cape; 8792075	18/08/2025,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
R6,"""Ocean Dynamo"" - (Tierkop Investments CC)",,Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TM,"""Shellfish"" - (Balobi Fishing Enterprises (Pty) Ltd)",,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SC,"""Umlobi"" - ""Irvin & Johnson Trawling""",,Cape Town,1741,Western Cape,South Africa,third-country,FFP,FV,,,FV - Factory Vessel,,
SG,ANTONETTE(ANTONETTE FISHING (PTY)LTD),"Porthole Building, Triton Avenue, Port St. Francis, St. Francis Bay",St. Francis Bay,,Eastern Cape; 9984223	09/11/2022,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
AG,Abagold Ltd,"Corner Church & Still Street, Westcliff, Hermanus,7200",Hermanus,7200,Western Cape,South Africa,third-country,FFP,PP,,,PP - Processing Plant,12/05/2025,
X4,Abraham T (Crossberth Cold Stores (Pty) Ltd),,Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
