approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
116,Pukyung Pig Farmers Agricultural Cooperative,"6-9, Eobang-Dong, Gimhae City, Kyeongsangnam-do",Gimhae,46065,"Gimhae,Gyeongsangnam-do",South Korea,third-country,ABP-SH,,,,CAT3 - Category 3,,
KORF-543,"801 SEUNG JIN (SEUNG JIN FISHERIES CO.,LTD.)",,Seo-Gu,,Busan,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORP-316,AFOODS,"81 Haiteksandan-ro, Samseong-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",Eumseong-gun,17420,"Eumseong-gun,Chungcheongbuk-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,13/07/2026,
KORF-542,"AGNES 110 (Agnes Fisheries Co.,Ltd.)",,Jongno-gu,02705,"Jongno-gu,Seoul",South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-561,"AGNES 82 (AGNES FISHERIES CO.,LTD)","37, Saemunan-ro 5-gil, Jongro-gu, Seoul, Republic of Korea",Jongno 1-ga,03154,"Jongno-gu,Seoul; 8714061	07/03/2023",South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORF-566,"AGNES 83(AGNES FISHERIES CO.,LTD)","37, SAEMUNAN-RO 5GIL, JONGNO-GU, SEOUL, REPUBLIC OF KOREA",Seoul,01450,Seoul; 9012331	15/07/2026,South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORF-562,"AGNES 90 ( AGNES FISHERIES CO.,LTD)","Rm706, 37, Saemunan-ro 5-gil, Jongno-gu, Seoul, Republic of Korea",Jongno 3-ga,03139,"Jongno-gu,Seoul; 9042025	15/07/2026",South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORP-123,"AK BIOPHARM CO., LTD","#81, Sanggae-ro, Ulsan, 680-180",Nam-gu,16075,,South Korea,third-country,FFP,PP,,,"Nam-gu,Incheon | PP - Processing Plant",,
KORP-163,"ASIA COLD STORAGE CO., LTD","179, WONYANG-RO, SEO-GU, BUSAN, REPUBLIC OF KOREA",Seo-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,08/08/2024,
KORP-192,"ASIA COLD STORAGE CO., LTD SECOND FACTORY","224, WONYANG-RO, SEO-GU, BUSAN, REPUBLIC OF KOREA",Seo-Gu,,Busan,South Korea,third-country,FFP,CS,,,CS - Cold Stores,07/08/2024,
KORF-162,"Agnes No.101 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-161,"Agnes No.102 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-164,"Agnes No.103 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-165,"Agnes No.107 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-166,"Agnes No.108 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-169,"Agnes No.3 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-168,"Agnes No.5 (Agnes Fisheries Co., Ltd)",,Jongro-Gu,,Seoul,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORP-255,"Arawoom Co.,ltd",Yeosu-si,Yeosu-si,59705,"Yeosu-si,Jeollanam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,03/05/2022,
KORF-249,"Atun Tres (Dongwon Industries Co., Ltd.)",,Seocho 4-dong,,"Seocho-gu,Seoul",South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORP-274,"BADAONE CO.,LTD.","495 Dunchondae-ro, Jungwon-gu, Seongnam City, Gyeonggi-do, Republic of Korea",Seongnam,06794,"Seongnam,Gyeonggi-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,03/11/2023,
KORP-293,BANCHANDANJI Co.Ltd.,"14,20 Geonji-ro 95beon-gil, Seo-gu, Incheon, Republic of Korea",Incheon,10105,Incheon,South Korea,third-country,FFP,PP,,,PP - Processing Plant,14/03/2025,
KORP-206,"BIGMAMA - SEAFOOD Co.,Ltd",-,Tongyeong-si,53070,"Tongyeong-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-282,"BIOPORT KOREA,INC","36, Ballyongsandan 1-ro, Jang-an-eup, Gijang-gun, Busan, Republic of Korea",Gijang-gun,46065,"기장군,Busan",South Korea,third-country,FFP,PP,,,PP - Processing Plant,04/04/2024,
KORF-553,BLUE OCEAN (TNS Industries Inc.),"6F 304 Seocho-daero, Seocho-gu",Seocho-gu,06511,"Seocho-gu,Seoul; 9262833	17/10/2022",South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORF-536,"BONAMI (DONGWON INDUSTRIES CO., LTD.)","68, Mabang-ro, Seocho-gu, Seoul, Korea",Seoul,01199,Seoul; 9848869	24/07/2026,South Korea,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
KORP-161,"BORIM LOGISTICS CO., LTD. BUSAN COLD STORAGE","73, WONYANG-RO, SEO-GU, BUSAN, REPUBLIC OF KOREA",Seo-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,07/08/2024,
KORP-269,BUSAN COLD STORAGE INC,"328, Wonyang-ro, Saha-gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,07/08/2024,
KORP-303,"BUSAN EOMUK CO.,LTD","#69-25, Junam-ro, Yangsan-si, Gyeongsangnam-do, Republic of Korea",Yangsan,50540,"Yangsan,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,20/10/2025,
KORP-298,"BUSAN HAESARANG CO., LTD","717, Eulsukdo-daero, Saha-gu, Busan, Republic of Korea",Saha-Gu,,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,29/07/2025,
KORP-275,BUSAN MACKEREL FOODS CORPORATIONS,"242 Wonyang-ro, Seo-gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,18/12/2023,
KORP-137,Bada Susan,"523, jangsan-ri, ganghyeon-myeon",Yangyang-gun,24800,"Yangyang-gun,Gangwon-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORF-441,"Badaro (Dongwon Industries Co., Ltd)",,Seocho-gu,06511,"Seocho-gu,Seoul; 9163439	09/06/2022",South Korea,third-country,FFP,RV,,,RV - Reefer Vessel,,
KORP-309,"BaekHwa Co.,LTD","#B-201, Wonyang-ro 1, Seo-Gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,23/02/2026,
KORP-284,"Biocorp Co., Ltd.","181-28, Joseong-ro, Joseong-myeon, Boseong-gun, Jeollanam-do, Republic of Korea",Boseong-gun,59455,"Boseong-gun,Jeollanam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,19/04/2024,
KORP-176,"Biocorp Co.,Ltd.",-,Goheung-gun,,Jeollanam-do,South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORF-285,"Blue Ocean (Dongwon Industries Co., Ltd)","68, Mabang-ro, Seocho-gu, Seoul, Korea",Seoul,01199,Seoul; 9509396	24/07/2026,South Korea,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
KORP-215,"Busan Fish Cake CO., LTD",,Yangsan,46065,"Yangsan,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-141,"Busan-SeGwang Food Co.,Ltd","381, Noksansaneopjung-ro, Gangseo-gu",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,30/03/2022,
KORF-565,CHARMSON FOODS CORPORATION(SURESTE 703),"171, Wonyang-ro, Seo-gu, Busan, Republic of Korea",Busan,46723,Busan; 9995648	30/11/2023,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORP-211,"CHEONG A GOOD FOOD CO., LTD.",,Hoengseong-gun,,"Hoengseong-gun,Gangwon-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-273,"CHUNGSANBADA CO.,LTD.","22-7, Nonggongdanji 4-gil, Wando-eup, Wando-gun, Jeollanam-do, Republic of Korea.",Wando-gun,,"Wando-gun,Jeollanam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,27/10/2023,
KORP-217,CJ CHEIIJEDANG,,Nonsan-si,32810,"Nonsan-si,Chungcheongnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-294,CJ CHEILJEDANG,"168, Seohaedae-ro, Jung-gu",Incheon,15033,Incheon,South Korea,third-country,FFP,PP,,,PP - Processing Plant,22/04/2025,
KORP-272,"CORE FOOD Co.,Ltd.","243-18 Cheongbukseo-ro, Cheongbuk-eup, Pyeongtaek-si,Gyeonggi-do, Republic of Korea",Pyeongtaek,16075,"Pyeongtaek,Gyeonggi-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,13/10/2023,
KORP-300,"COSMAX NBT, INC.","127-16, Deokpyeong-ro 663beon-gil, Majang-myeon, Icheon-si, Gyeonggi-do, Republic of Korea",Icheon,17163,"Icheon,Gyeonggi-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,04/09/2025,
KORP-036,Central Fisheries Co Ltd,"142, eogu-ri, dundeok-myeon",Geoje-si,,"Geoje-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-109,Chemport Inc.,"30-5, 30-51 Dongsunonggongdanji-gil",Naju-Si,58275,,South Korea,third-country,FFP,PP,,,"Naju-si,Jeollanam-do | PP - Processing Plant",30/09/2022,
KORF-401,"Cherry Star (Ji Sung Shipping Co.,Ltd)",Dangju-Dong,Jongno-gu,03154,"Jongno-gu,Seoul; 9015840	09/06/2022",South Korea,third-country,FFP,RV,,,RV - Reefer Vessel,,
KORP-162,"Cold Storage Inter-Burgo II Co., Ltd","125,Wonyang-ro, Seo-gu, Busan, Republic of Korea",Seo-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,04/03/2025,
KORF-172,"Cosecha (Sun Min Fisheries Co., Ltd)",,Jung-gu,34939,,South Korea,third-country,FFP,FV,,,"Jung-gu,Daejeon | FV - Factory Vessel",,
KORP-212,"DAEHO FISHERIES CO., LTD",,Yeongdeok-gun,36403,"Yeongdeok-gun,Gyeongsangbuk-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-210,DAESANG Corp.,,Sunchang-gun,57501,"Sunchang-gun,Jeollabuk-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-224,DAESANG Food Plus Corporation,,Cheonan-si,31173,"Cheonan-si,Chungcheongnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-264,"DAI HAN FISHERIES CO.,LTD","349, WONYANG-RO, SAHA-GU, BUSAN, REPUBLIC OF KOREA",Saha-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,07/08/2024,
KORP-104,"DH Seafood Co., Ltd","570, Gadeokhaean-ro 2beon-gil, Gangseo-gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,28/02/2025,
KORF-564,"DONG NAM CO.,LTD(SURESTE 701)","171, Wonyang-ro, Seo-gu, Busan, Republic of Korea",Busan,49437,Busan; 9995650	30/11/2023,South Korea,third-country,FFP,FV,,,FV - Factory Vessel,,
KORP-136,"DONG YEONG COLD PLAZA CO., LTD","295, WONYANG-RO, SEO-GU, BUSAN, REPUBLIC OF KOREA",Seo-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,08/08/2024,
KORP-094,"DONGWON INDUSTRIES CO., LTD(BUSAN PLANT)","147 WONYANG-RO, SEO-GU, BUSAN",Seo-Gu,,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,06/09/2024,
KORF-576,"DONGWON INDUSTRIES CO., LTD,(HANARO)","68 MABANG-RO, SEOCHO-GU, SEOUL, REPUBLIC OF KOREA",Seoul,01199,Seoul; 9133317	30/06/2026,South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORF-575,"DONGWON INDUSTRIES CO., LTD,(MYLO)","68 MABANG-RO, SEOCHO-GU, SEOUL, REPUBLIC OF KOREA",Seoul,01100,Seoul; 9278612	30/06/2026,South Korea,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KORP-112,"DONGWON INDUSTRIES CO.,LTD BUSAN COLD STORAGE CENTER","147, WONYANG-RO, SEO-GU, BUSAN, REPUBLIC OF KOREA",Seo-Gu,,Busan,South Korea,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,06/08/2024,
KORP-281,"DONGWON LOEX COLD STORAGE ⅡCo. , Ltd","101, Sinhang 6-ro, Jinhae-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",Changwon,51342,"Changwon,Gyeongsangnam-do",South Korea,third-country,FFP,CS,,,CS - Cold Stores,13/05/2024,
KORP-086,"Dae Il Fisheries Co., Ltd","32-1, wahang 1-gil, hacheong-myeon",Geoje-si,,"Geoje-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-132,"Dae Jung Fishery Co., Ltd.",#86 goil-ri pyeonghae-eup,Uljin,36403,"Uljin,Gyeongsangbuk-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-135,Dae Wang Co. Ltd.,"132, Beompyeong-ro, Chodong-myeon",Miryang-Si,,"Miryang,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-188,Daeil CF Co,,Geoje-si,,"Geoje-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-116,"Daekang Fishery Co.,Ltd","400, NOKSANSANEOPBUK-RO, GANGSEO-GU, BUSAN, REPUBLIC OF KOREA",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,09/12/2024,
KORP-023,"Daihung Mulsan Co., Ltd","MISOO - DONG, TONGYEONG-CITY #828",Tongyung,,Gyeongsangnam-do,South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-103,"Daihung Mulsan Co., Ltd (Geoje Factory)",-,Geoje-si,,"Geoje-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-099,"Daione Food Co., Ltd","31, Nomaratgae-gil, Sanyang-eup",Tongyeong-si,53070,"Tongyeong-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-277,Dashimachonbok fishery corp,"95, Nonggongdanji-gil, Wando-eup, Wando-gun, Jeollanam-do, Republic of Korea",Wando-gun,,"Wando-gun,Jeollanam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,18/12/2023,
KORF-511,Dhara (Boyang Ltd.),,Gangnam-Gu,,Seoul; 8904941	09/06/2022,South Korea,third-country,FFP,RV,,,RV - Reefer Vessel,,
KORP-145,"Dong Won Mulsan Co., Ltd","Dosanilju-ro, 2358",Tongyeong-si,53070,"Tongyeong-si,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-113,Donglim Seafoods Corpporation,"69 Chukhang-daero 86beon-gil, Jung-gu, Incheon, Republic of Korea",Incheon,12950,Incheon,South Korea,third-country,FFP,PP,,,PP - Processing Plant,08/10/2024,
KORP-078,"Dongrim Foods Co., Ltd",-,Changyoung-Gun,,Gyeongsangnam-do,South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORP-006,"Dongwon F&B Co., Ltd","201,Nammyeon-ro,Uichang-gu",Changwon,51773,"Changwon,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
KORF-567,"Dongwon Industries Co., Ltd(VASCO)","68, Mabang-ro, Seocho-gu, Seoul, Republic of Korea",Seocho-gu,06765,"Seocho-gu,Seoul",South Korea,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,15/11/2024,
KORP-190,"Dongwon LOEX Cold Storage Co., Ltd",,Changwon,51773,"Changwon,Gyeongsangnam-do",South Korea,third-country,FFP,CS,,,CS - Cold Stores,03/05/2022,
KORP-119,"Dongwon TongYoung Fisheries Co., Ltd","24, Gamcheonhang-ro, Saha-gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,26/03/2025,
KORP-219,"EUNHA MARINE Co., Ltd","36, Noksansandan 381-ro, Gangseo-gu, Busan, Republic of Korea",Busan,49437,Busan,South Korea,third-country,FFP,PP,,,PP - Processing Plant,04/03/2025,
KORP-139,"Eiyoh Korea Co.,Ltd",Chilseo-Myeon,Haman-gun,51288,"Haman-gun,Gyeongsangnam-do",South Korea,third-country,FFP,PP,,,PP - Processing Plant,,
