approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
10.19633/TE,"""INDUSTRIAS CARNICAS DE ELABORACION DE JAMONES Y EMBUTIDOS LOS TRES REYES DE FUENTESPALDA S.A. """,POL. AGROALIMENTARIO CIUDAD DE LA CARNE S/N,Valderrobres / Vall de Roures,44580,"Teruel,Aragon",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.11882/ZA,"A RIBEIRA VITAL, S. L.",CALLE ERAS S/N,Calzada de Tera,49329,"Zamora,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.028735/ZA,"ABACERIA DEL MONASTERIO, S.L.","ERMITA DE SAN LORENZO, PARCELA CT 8A",Benavente,49600,"Zamora,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.18559/J,AGRITEZ 1993 S.L.,POL. AVE MARIA KM. 4'300 - ANDUJAR - 23740 - Jaén,Andújar,23740,"Jaén,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.025412/CA,AGROCARNES DEL SUR 2014 S.L.,"C/ BAJEL, NAVE 5 POL.IND. ZABAL BAJO",La Línea de la Concepción,11300,"Cádiz,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.18173/J,AGROPECUARIA DE JAEN S.L.,POL. INDUSTRIAL LOS JARALES II- PARCELA 6-1,Linares,23700,"Jaén,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.21128/GU,"AGROPECUARIA FRAILE, S.A.",C/ GUADALAJARA-JALISCO Nº 91 (POLG. IND. DEL HENARES),Guadalajara,19004,"Guadalajara,Castile-La Mancha",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.026341/SA,"AGROPECUARIA LA LURDA, S.L.U.",CTRA. SA-114,Sieteiglesias de Tormes,37892,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.029445/SA,AGROPECUARIA RUIZ SANTAMARIA S.L.,CALLE NUESTRA SEÑORA Nº: 67,Peñaranda de Bracamonte,37300,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
ES340802000021 / 10.06870/P,"AGROPECUARIA Y CARNICA LA PALENTINA, S.L.",CALLE SOTO EL S/N,Guardo,34880,"Palencia,Castile and León",Spain,EU-EFTA,RM,SH,Y,bovine porcine ovine caprine equine,SH - Slaughterhouse,,
10.22789/J,ALBALOMA INVERSIONES S.L,"AUTOVIA ANDALUCIA, KM.318,5",Andújar,23740,"Jaén,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.027844/GI,ALBERLA MOSI SL,"PO Les Ferreries CM Vell de Riudellots, 7",Campllong,17459,"Girona,Catalonia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.03651/LO,ALEJANDRO MIGUEL S.L.,"Ctra Albelda-Nalda, Km 1",Albelda de Iregua,26190,"Rioja,Rioja",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.23044/VA,ALEJANDRO REVILLA GOMEZ,CALLE LAGUNA S/N,Villalón de Campos,47600,"Valladolid,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.09098/GR,ALGARRA Y ORTEGA S.L.,COMPLEJO MERCAGRANADA MOD. 304-305,Granada,18015,"Granada,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.09937/SA,"ALHANDIGA IBERICOS, S.L.","CTRA. NACIONAL 630, KM 369,2",Fresno Alhándiga,37789,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.23833/H,ALIMENTACIÓN LA ESPERANZA SL,LA PARRA 7,Cumbres Mayores,21380,"Huelva,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.15568/BA,ALIMENTOS CARNICOS DE EXTREMADURA S.L.,"POL. IND. EL PABELLON, PARC. 2,8 - JEREZ DE LOS CABALLEROS - 06380 - Badajoz",Jerez de los Caballeros,06380,"Badajoz,Extremadura",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.18697/SA,"ALMACENES GARIMORI, S. L.",CALLE SIERRA VENTOSA S/N POLIGONO INDUSTRIAL AGROALIMENTARIO 66-K,Guijuelo,37770,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
ES311090000200,"ALMAMEAT, S.L.",Pol. Industrial Mesta de Salinas de Pamplona,Salinas de Pamplona,31191,"Navarre,Navarre",Spain,EU-EFTA,RM,SH,Y,bovine caprine ovine equine,SH - Slaughterhouse,,
10.18906/SA,"ALONSO GOMEZ RAMOS, S. L.",CALLE ESPAÑA Nº3,Campillo de Salvatierra,37770,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.08702/H,ALTANZA JABUGO SLU,CARRETERA JABUGO-REPILADO KM 1 - SITIO CABEZUELA Y FUENTE S/N,Jabugo,21290,"Huelva,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.02875/SA,ANA CRISTINA SANCHEZ MARTIN,CALLE ESPAÑA Nº10,Campillo de Salvatierra,37778,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.15580/SA,ANA MARIA RAMOS GARCIA,CALLE AMABLE CRIADO Nº23,Campillo de Salvatierra,37778,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.026546/SS,ANDRES EIZAGUIRRE SL,"POLIGONO BIDAURRE UREDER, 45 D; BARRIO VENTAS, BAJO B - IRUN - 20305 - Gipuzkoa",Irun,20305,"Gipuzkoa,Basque Country",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.100112/J,ANDUCAZA S.L.,POLIG ESTACION FERROCARRIL 4 B,Andújar,23740,"Jaén,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.08929/VA,ANGEL ALONSO GALINDO,"""Nº14 POLIGONO INDUSTRIAL SAN CRISTOBAL C/PLATA, Nº14, NAVE 6""",Valladolid,47012,"Valladolid,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.19545/GR,ANGEL GARCIA MARTINEZ,POLIGONO LA ENCANTADA Nº87,Huéscar,18830,"Granada,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.13258/SG,ANGEL LAZARO MAYORAL,"CTRA. SAN RAFAEL, POLIG. IND. EL ACUEDUCTO, PARC.57",Segovia,40006,"Segovia,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.028569/ZA,ANGEL SANCHEZ ANDRES,"CALLE ORDOÑEZ Nº: 2 , Piso: BJ",Toro,49800,"Zamora,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.029131/GU,ANGUS LAS SUERTES DEL MONTE SL,C/ LEPANTO 12-14 NAVE 2,Guadalajara,19004,"Guadalajara,Castile-La Mancha",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.18203/SA,"ANRAL, S. L.",CALLE SIERRA DE TONDA S/N POLIGONO INDUSTRIAL AGROALIMENTARIO 67-A,Guijuelo,37770,"Salamanca,Castile and León",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.11429/GR,ANTONIO ALARCON PASTOR E HIJOS S.L.,COMPLEJO MERCAGRANADA MOD. 637 AL 641,Granada,18015,"Granada,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.16186/GR,ANTONIO CARMONA VARON,"CTRA. ALMERIA 50, VALLE DEL ZALABI",Esfiliana,18511,"Granada,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.14455/MA,ANTONIO DOMINGUEZ JIMENEZ SL,BARRIADA DE LA ESTACIÓN S/N,Benaoján,29360,"Malaga,Andalusia",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.14235/AB,"ANTONIO SORIA CANTERO, S.L.","C/ VASCO NUÑEZ DE BALBOA, 14",Albacete,02001,"Albacete,Castile-La Mancha",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.10371/IB,"APLICACIONS TECNIQUES INSULARS, SA","POLIGONO 5, PARCELA 132",Consell,07330,"Balearic Islands,Balearic Islands",Spain,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
10.07569/TE,ARAGON MATADERO SLU,Ctra. Nacional 211 km 199 POl. Campojamón,La Mata de los Olmos,44557,"Teruel,Aragon",Spain,EU-EFTA,RM,SH,Y,porcine,SH - Slaughterhouse,,
