approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
DFAR/FPE/98/105,AMK Food Export (Pvt.) Ltd,"No.62, Industrial Zone, Katuwana, Homagama",Homagama,10300,"Colombo District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,08/04/2025,
DFAR/FPE/98/116,ANNAI HOLDINGS (PVT) LTD,NO 17 ALATHIVELY KANDY ROAD NAVATKULY,Jaffna,40000,"Jaffna District,Northern Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,11/09/2026,
DFAR/FPE/98/57,ARR Divine (Pvt.) Ltd.,No. 34 Araliya Mawatha Bangalawatta Mabola Wattala,Wattala,11300,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/33,Alex Seafood (Pvt.) Limited.,No. 100 Don David Mawatha Kadirana(North),Kadirana Junction,11410,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/18,Aloy Expo (Pvt.) Ltd.,98/14 Averiwatta Road,Wattala,11300,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/08,Alpex Marine (Pvt.) Ltd.,"68 canal road,",Hendala,,Western Province,Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/110,Amagi Foods Supply (Pvt.) Ltd.,DP-1 Industrial Estate Maithree Mawatha Ekala,Ekala,11380,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,26/09/2024,
DFAR/FPE/98/91,Annai And Sons (Pvt) Ltd.,"No 257,259 Beach Road Navanthurai North",Jaffna,40000,"Jaffna District,Northern Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/11,Apollo Marine International (Pvt.) Ltd.,"Block 9C, Export Processing Zone, Wathupitiwala",Nittambuwa,11000,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/111,Blue Horizon Lanka (Pvt.) Ltd.,"No. 50, Archbishop Nicholas Marcus Mawatha, Negombo",Negombo,11500,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,11/02/2026,
DFAR/FPE/98/109,Blue Line Ocean (Pvt.) Ltd,"231/32,Baseline Road, Peter Mawatha, Amandoluwa, Seeduwa",Seeduwa,11410,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,19/02/2025,
DFAR/FPE/98/73,C.M. Fish Canning (Pvt.) Ltd.,"Nadukkuda, Pesalai, Mannar",Mannar,41000,"Mannar District,Northern Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,06/01/2025,
DFAR/FPE/98/88,Ceylon Catch (Pvt.)Ltd.,Aralugahawatta Ihalamohottimulla Bujjampola,Dankotuwa,11410,"Puttalam District,North Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
DFAR/FPE/98/31,Ceylon Fresh Sea Food (Pvt.) Ltd.,"No. 71, Kudahakapola Road, Thudella",Ja-ela,11350,"Gampaha District,Western Province",Sri Lanka,third-country,FFP,PP,,,PP - Processing Plant,,
