approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SUR/597/126,African Caribbean Food Industry,Indira Ghandiweg no 793c,Lelydorp,,Wanica; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/127,Ansu Fisheries N.V.,,Commewijne,,Commewijne; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/117,Bera Fisheries N.V.,,Dijkveld,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/102,Caribbean Seafoods N.V.,NW. Industriepark II Duisburg,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/134,DUO TAI YU QIN N.V.,Martin Luther Kingweg 721,Paranam,,Para; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,10/08/2022,
ZV007/SA00152/SR,ESPERANZA 112,Sujafiweg 1,Paramaribo,,Paramaribo; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products; 8445385	25/01/2024,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV008/SA00098/SR,ESTEMAR 1,Sujafiweg 1,Paramaribo,,Paramaribo; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products; 8444290	25/01/2024,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SUR/597/003,Heiploeg Suriname NV,Jagtlust 381,Commewijne,,Commewijne; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
ZV009/SB00086/SR,JUNE 71,Sujafiweg 1,Paramaribo,,Paramaribo; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products; 8444305	30/09/2024,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SUR/597/115,N.V. DEEP SEA ATLANTIC,Sir Winston Churchillweg 665,Wanica,,Wanica; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/112,N.V. HOLSU,,Domburg,,Wanica; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/101,N.V. Omicron Seafood,"Corantijnstraat 48, Zorg en Hoop, Paramaribo",Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/149,N.V. RAVIANGELO FISHERIES,INDIRA GANDHIWEG 1036,Paranam,,Para; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,02/05/2025,
SUR/597/004,N.V. SEAFOOD INDUSTRIES SURINAME,Cornelis Jongbawstraat 48,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/002,National Industrial Supplier and Development N.V. (NISAD N.V.),,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/144,OCEAN DELIGHT SURINAME N.V.,Sir Winston Churchillweg no. 576,Wanica,,Wanica; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/132,"ORBILO NICKERIE PROCESSING FISH, SHRIMPS & CRABS N.V.",Van Idsingaweg 19,Nickerie,,Nickerie; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
ZV002/SA00183/SR,PAS 105,Marienburg Hoofdweg 30,Commewijne,,Commewijne; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,05/06/2024,
SUR/597/130,Polder Seafood N.V.,,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
ZV010/SA00188/SR,Ranmar 15,Cornelis Jongbawstraat 48,Paramaribo,,Paramaribo; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,25/07/2023,
ZV011/SA00178/SR,Ranmar 212,Cornelis Jongbawstraat 48,Paramaribo,,Paramaribo; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products,Suriname,third-country,FFP,ZV,,,ZV - Freezer Vessel,09/03/2023,
SUR/597/150,SU WANG FISH PROCESSING,Belwaarde blok 8,Commewijne,,Commewijne; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,18/05/2022,
SUR/597/001,SURINAAMS AMERIKAANSE INDUSTRIE MAATSCHAPPIJ N.V. (SAIL N.V.),Cornelis Jongbawstraat 48,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/104,SUVVEB N.V.,Cevihas complex loods 1,Bethesda,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
SUR/597/110,Suriname Sea Catch N.V.,Tennisbalstraat NO 9,Paramaribo,,Paramaribo; 59 Imports of smoked fishery products are not authorised from this establishment,Suriname,third-country,FFP,PP,,,PP - Processing Plant,,
