approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
6883,24Sju Handel AB,Importvägen 5,Årsta,12044,"Stockholms kommun,Stockholm County,Region Svealand",Sweden,RM,CP,N,bovine ovine,CP - Cutting Plant,,
082,A J Dahlberg Slakteri AB,Rostocksvägen 12,Brålanda,46462,"Vänersborgs kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
084,AB Ginsten Slakteri,Plönninge,Harplinge,30561,"Halmstads kommun,Halland County,Region Götaland",Sweden,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
6686,AB Gotlands Korvfabrik,"Sockerbruket Roma, Visbyvägen 10",Romakloster,62254,"Gotland County,Region Götaland",Sweden,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
617,AB Jakobsdals Charkuteri,Slakthuset,Göteborg,41502,"Västra Götaland County,Region Götaland",Sweden,RM,CP,N,porcine,CP - Cutting Plant,,
5041,AB Kulls Chark,Hospitalsgatan 80,Norrköping,60228,"Norrköpings kommun,Östergötland County,Region Götaland",Sweden,RM,CP,N,bovine porcine,CP - Cutting Plant,,
356,Adam Slottner,Vike Sörgården 1,Kristinehamn,68193,"Kristinehamns kommun,Värmland County,Region Svealand",Sweden,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
6330,Agnes Jörgensen,Slåtte 874,Alsen,83593,"Jämtland County,Region Norrland",Sweden,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
397,Alexander Klerfors,Skäftingsbacka Gård,Målsryd,51695,"Borås kommun,Västra Götaland County,Region Götaland",Sweden,RM,SH CP,Y,bovine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
607,Alfred Johanssons Holding AB,Agnesfridsvägen 186,Malmö,21375,"Skåne County,Region Götaland",Sweden,RM,CP,N,porcine,CP - Cutting Plant,,
501,Allmans AB,Lamellgatan 10,Borås,50462,"Borås kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,porcine,CP - Cutting Plant,,
098,Alviksgården Lantbruks AB,Alviksgården 190,Luleå,97592,Region Norrland,Sweden,RM,SH CP,Y,bovine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
5101,Andersson & Tillman AB,Danmarksgatan 24,Uppsala,75323,"Uppsala County,Region Svealand",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
2108,Arnemarks Köttservice AB,Verkstadsgatan 11,Piteå,94139,"Piteå kommun,Norrbotten County,Region Norrland",Sweden,RM,CP,N,porcine ovine bovine,CP - Cutting Plant,,
5496,Axel´s Chark AB,Björtveten 18,Bäckefors,66894,"Bengtsfors kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine porcine,CP - Cutting Plant,,
6014,BD Ekokött AB,Opaltorget 2,Västra Frölunda,42164,"Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
015,Bassholma slakteri AB,Ekerödsvägen 110,Munka-Ljungby,26695,"Skåne County,Region Götaland",Sweden,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
328,Basunda Gård Slakteri AB,Basunda Gård,Rimforsa,59046,"Kinda kommun,Östergötland County,Region Götaland",Sweden,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
744,Benny Selberg,Gullmark 60,Bygdeå,91598,"Robertsfors kommun,Västerbotten County,Region Norrland",Sweden,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
276,Bergslagsdelikatesser i Lindesberg AB,Löpargatan 6,Lindesberg,71134,"Lindesbergs kommun,Örebro County,Region Svealand",Sweden,RM,CP,N,bovine ovine porcine equine,CP - Cutting Plant,,
5199,Bernd's Chark AB,Södra Huveröd 202,Ucklum,44494,"Stenungsunds kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
018,Bjursunds Slakteri AB,Mossebogatan 9,Valdermarsvik,61595,"Valdemarsviks kommun,Östergötland County,Region Götaland",Sweden,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
980,Björk & Magnussons i Helsingborg AB,Torbornavägen 32,Helsingborg,25368,"Skåne County,Region Götaland",Sweden,RM,CP,N,bovine porcine,CP - Cutting Plant,,
5081,Bodens Kött & Vilt AB,Edeforsvägen 94,Harads,96024,"Bodens kommun,Norrbotten County,Region Norrland",Sweden,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6066,Bondens Skafferi AB,Koriandervägen 5,Åhus,29641,"Kristianstads kommun,Skåne County,Region Götaland",Sweden,RM,CP,N,porcine bovine,CP - Cutting Plant,,
6398,Bondens Skafferi Väst AB,Mejerigatan 1,Alingsås,44139,"Alingsås kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
6543,Bondens Skafferi Öst AB,Rydjavägen 2,Mantorp,59557,"Mjölby kommun,Östergötland County,Region Götaland",Sweden,RM,CP,N,bovine porcine,CP - Cutting Plant,,
348,Bonnarps Hjortgård & Veterinär AB,Bonnarp 664,Ljungbyhed,26453,"Klippans kommun,Skåne County,Region Götaland",Sweden,RM,CP,N,ovine,CP - Cutting Plant,,
144,Bräkne-Hoby Chark AB,Trekantsvägen 1,Bräkne-Hoby,37261,"Ronneby kommun,Blekinge County,Region Götaland",Sweden,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
113,Bröderna Jakobssons Slakteri AB,Rossö 2544,Nyland,87052,"Kramfors kommun,Västernorrland County,Region Norrland",Sweden,RM,CP SH,Y,bovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
729,Burträsk Slakteri AB,Nedre Åbyn 94,Burträsk,93791,"Skellefteå kommun,Västerbotten County,Region Norrland",Sweden,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
