approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
TR 33-0258,"""Gümüşdoğa Su Ürün. Ür. İhr. ve İth. A.Ş. Silifke Balık Paketleme ve Depolama Şubesi",Atik Mah. Çayır Sk. No:/A Merkez Silifke,Mersin,33010,"Mersin,Mediterranean Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,22/06/2026,
TR 34-K-048026,AKSU VITAL DOGAL URUN.GIDA SAN.VE TIC.A.S.,"KAVAKLI MAH.KUZEY CAD.NO:5 ,BEYLIKDUZU",Istanbul,34209,"Istanbul,Marmara Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,04/05/2026,
TR 09-0349,Abalioglu Balik ve Gida Ürünleri Anonim Şirketi Çine Şubesi,-,Çine,09020,"Aydın,Aegean Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,,
TR 34-0909,Aden Su Ürûnleri Gida Denizcilik Ins. Nak. Turizm San. Tic Ltd. Sti.,Akcaburgaz Mah. 3049 Sokak No: 2,Esenyurt,34500,"Istanbul,Marmara Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,,
TR 09-0036,Agromey Gida Ve Yem San. Tic. A.S.,,Umurlu,09020,"Aydın,Aegean Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,,
TR 35-1107,Agromey Gıda ve Yem San. Tic. A. Ş. Torbalı Balık İşleme Şubesi,Yazıbaşı Mah. Karabağ Sokak No:32/1 Torbalı/İZMİR,Izmir,35100,"Izmir,Aegean Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,26/05/2023,
TR 61-0024,Akerko Su Ürünleri Sanayi ve Ticaret Anonim Şirketi,Merkez Mah. Mehmet Turan Cad. No:104 Çarşıbaşı,Trabzon,61040,"Trabzon,Black Sea Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
TR 31-0068,"Akgöl Balikcilik Su Ürünleri Urt. Hay. Ve Hayvan Ürünleri, Bakliyat, Ins. Malz. Nak. Tic. Ith. Ihr. Ltd. Sti.",,Antakya,31060,"Hatay,Mediterranean Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,,
TR 17-0584,Akuatek Su Ürünleri Tar. Ür. Gida Turz. San. Ve Tic. A.S.,-,Yenice,,"Çanakkale,Marmara Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,,
TR 52-0140,Altaş Su Ürünleri Üretim Pazarlama Tic. ve San. Ltd. Şti.,Çerli Mah. Dereiçi Sokak No:110/1 Merkez Perşembe/ORDU,Ordu,52100,"Ordu,Black Sea Region",Türkiye,third-country,FFP,PP,,,PP - Processing Plant,14/12/2022,
