approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
7FH0031,A.O. Kingdom International Company Limited,"101, Shennong Road, Changzhi Township",Changzhi Township,,"Pingtung County,Taiwan Province",Taiwan,third-country,FFP,PP,,,PP - Processing Plant,,
CT8-0166,AN FONG NO.868,"No. 15, Zhulun street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 9972270	10/03/2023,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0200,An Fong No. 138,"No. 15, Zhulun street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 9797307	10/03/2023,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0172,An Fong No.118,"No. 15, Zhulun street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 8676659	11/07/2022,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0187,An Fong No.136,"No. 15, Zhulun street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 9777979	03/07/2023,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0227,An Fong No.156,"No.46, Yugang N.1st Rd, Qianzhen District, Kaohsiung City",Qianzhen District,,Kaohsiung; 9785627	08/01/2025,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0195,An Fong No.158,"No. 15, Zhulun street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 9769233	31/08/2023,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0226,An Fong No.168,"No.46, Yugang N.1st Rd, Qianzhen District, Kaohsiung City",Qianzhen District,,Kaohsiung; 9799575	13/01/2025,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0129,An Fong No.188,"15, Zhulun Street",Zhongshan District,,Taipei,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT8-0165,An Fong No.888,"No.15, Zhulun Street, Zhongshan District, Taipei City",Zhongshan District,,Taipei; 9959010	17/10/2022,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
7FH0043,Bai Xian Seafood Corporation,"32, Feng-Yu 3rd Road",chian jen district,,Kaohsiung,Taiwan,third-country,FFP,PP,,,PP - Processing Plant,,
CT8-0218,CHUN FU FA NO.6,"4F., No. 3, Yugang E. 2nd Rd",Qianzhen District,,Kaohsiung; 9785249	06/02/2025,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CT7-0629,CHUN HAO,"4F., No. 3, Yugang E. 2nd Rd",Qianzhen District,,Kaohsiung; 8676685	04/03/2022,Taiwan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
7FH0046,Cheng Hung Seafood Frozen Produce Company Limited,"5, Changchun Street",Xiaogang District,,Kaohsiung,Taiwan,third-country,FFP,PP,,,PP - Processing Plant,,
7FH0030,Chien Jung Frozen Food Company Limited,,Chien Chen District,,Kaohsiung,Taiwan,third-country,FFP,PP,,,PP - Processing Plant,,
