approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
APP Number 236,ALPHA TANGANYIKA FLAVOUR LTD,"Plot no. 28. Block “EE”, Mazwi Industrial Area L, Sumbawanga P.O. Box No.108 Sumbawanga, Rukwa",Sumbawanga,,"Sumbawanga Urban,Rukwa,Southern Highlands",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,21/09/2022,
A-PP-223,Alphakrust Ltd.,P. O Box 8316,Ilala,12101,"Dar es Salaam,Coastal",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP 237,Aqua Perch Limited,"P.O. Box 11346, Mwanza, Tanzania","Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,08/05/2023,
A-PP-227,Bahari Foods Ltd.,"59, Mikocheni Light Industrial Area, P. O. Box 3978",Dar es Salaam,,"Dar es Salaam,Coastal",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-233,DAR-LYON INVESTIMANT,P. 0 BOX 154,Ujiji,,"Kigoma Rural,Kigoma,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-232,Delish Foods Ltd,"P.O.Box11346, Plot No. 293, Isnjigo",Magu,,"Magu,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-234,ISTDAR LIMITED,P.O BOX 12836,Kinondoni,,"Dar es Salaam,Coastal",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-225,Kagera Fish Co. Ltd,"P.O. Box 180 Kemondo, BUKOBA",Kagera,,"Kagera,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
APP No. 207,Lake Star Limited,"Plot No. 8,9, 127, Block C, Ilemela Industrial Area, P.O.Box 2589, Mwanza-Tanzania","Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,12/12/2023,
APP B-130,MFV PACIFIC STAR,"Pemba Tuna Limited Mjini Magharibi - Unguja, Urban, Gulionizstc Investment Building, 5th Floor , Zanzibar P.O,.Box 242 ZANZIBAR",Zanzibar City,71101,Zanzibar; 8716837	03/05/2022,Tanzania,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
A-PP-231,Nature's Fish Limited,"P.O. Box 2589, Plot No. 43, Ilemela","Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-208,Nile Perch Fisheries Ltd,P.O. Box 1753,"Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-215,Omega Fish Ltd,PO Box 94,"Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-238,Pride of Nile PVT Limited,"P.O.BOX 1966, Izigo, Muleba - Kagera",Izigo,,"Muleba,Kagera,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,27/11/2024,
A-PP-229,Supreme Perch (Bukoba) Ltd,P.O. Box 1139,Bukoba,,"Bukoba,Kagera,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-200,Tanpesca Mafia Ltd,Kilindoni Area,Mafia,,Coastal,Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-209,Tanzania Fish Processors Ltd,P.O BOX 3001,"Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
A-PP-210,Victoria Perch Limited,Mwanza,"Malimbe township, Mwanza",33102,"Nyamagana,Mwanza,Lake",Tanzania,third-country,FFP,PP,,,PP - Processing Plant,,
