approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
EST.357,WINTHAI FOOD COMPANY LIMITED,"88/8 MOO 8, BAN KAENG, MUEANG SA KAEO, SA KAEO 27000, THAILAND",Sa Kaeo,,Sa Kaeo Province,Thailand,third-country,ABP-SH,,,,CAT3 - Category 3,04/01/2023,
7072,"888 Import Export Co., Ltd.","120/210 Moo 8, Tambol Kao-Rup-Chang",Mueang Songkhla,,Songkhla Province,Thailand,third-country,FFP,CS,,,CS - Cold Stores,10/08/2023,
1001,"A & N Foods Co., Ltd","12/24 Moo 6, Rama 2 Road, Tha Chin",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,20/03/2023,
2081,"A.E.C. CANNING CO., LTD.","39 Moo5, Tambol Banna",Klaeng,,Rayong Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,04/08/2025,
2082,"ABD Khan Co., Ltd",30 Moo 5 T.Bo Phloi,Bo Phloi,,Kanchanaburi Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
7049,"AC Coldstorage Co., Ltd.","71/29 Moo6, Thasai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
7095,"ANDAMAN SURIMI INDUSTRIES CO., LTD","12/32 Moo3, Bang Krachao",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
1388,"AYA FISHERY CO., LTD.","303 Moo 2, Tambol Khlong Yai",Khlong Yai,,Trat Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
7030,"Agri World Co., Ltd.","101/1 Moo1, Payom",Wang Noi,,Phra Nakhon Si Ayutthaya Province,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
1330,"Andaman Seafood Co., Ltd.","592 MOO2 Taiban Road, Tambon Taiban",Mueang Samut Prakan,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,04/01/2024,
1163,"Andaman Surimi Industries Co., Ltd.","12/32 Moo3, Bang Krachao",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
1013,Anglo-Siam Seafoods Ltd,"22/1 Moo4, Teparak Road",Amphoe Bang Phli,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
7091,"Anusorn Mahachai Cold Storage Co., Ltd.","59/6 Moo 8, Tha sai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
1256,Anusorn Mahachai Surimi Co. Ltd.,"59/7 Moo 8, Tha Sai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,26/04/2023,
1066,"Apitoon Enterprise Industry Co., Ltd","5/1 Moo 5, Tambon Tha Sai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
5151,Aroon,"285/3 Moo8 , Tambon Bana",Mueang Pattani,,Pattani Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,11/08/2023,
2071,Asian Alliance International Public Company Limited,"8/8 Moo 3, Rama 2 Road, Banbor",Amphur Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
4010,Asian Marine Reefer,,Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,RV,,,RV - Reefer Vessel,,
4012,Asian Marine Reefer 2,"814/240 Norasing Road, Mahachai District",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,RV,,,RV - Reefer Vessel,,
1084,Asian Sea Corporation Public Company Limited,"55/2 Moo2, Rama II Road, Bang Krachao",Amphur Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
1117,"Asian Seafoods Coldstorage (Suratthani) Co., Ltd.","57 Moo4, Asia Highway 41, Tha sathon",Phunphin,,Surat Thani Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,04/01/2024,
3111,"B.B.FOOD PRODUCE CO.,LTD","189/63 MOO 3, BANGPRENG",BANGBO,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
1159,"B.S.A. Food Products Co., Ltd.","1278 Wichienchodok Road, Maha Chai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
1067,"BS MANUFACTURING CO.,LTD.","99/9 Moo 7, Ruamjai Soi, Debaratna Road,Bangchalong",Bang Phli,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
3009,"Bangkok Dehydrated Marine Product Co., Ltd","33/3 Mu 8, Lardloomkaew-Pathumthani Rd., Kubangluang",Lat Lum Kaeo,,Pathum Thani Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
1354,"Bangkok Seafood Co., Ltd","66/19 Moo 3, Ekkachai Road, Nadee",Muang Samutsakhon,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,05/01/2023,
7007,"Bangkok Seafood Co., Ltd.","66/8 Moo3, Ekachai Rd, Nadee",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
3124,"Big Kitchen Co., Ltd.","80/2 Moo1, Thamkunakhon Road, Bangyaprake",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
3144,"Big Kitchen Co., Ltd. (Branch 2)","66/9 Moo3, Ekkachai Road, Nadee",Amphur Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
1359,"C.K. FROZEN FISH & FOOD CO., LTD.","109/1 Moo21, Bangplee-Tamru Road, Bangpleeyai",Bang Phli,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,26/04/2023,
1006,CPF Food And Beverage Company Limited,"82/12-14 Moo. 4, Bang Tho Rat",Amphur Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
1136,"CPRAM Co., Ltd.","177 Moo 4, Pathum Thani - Lat Lum Kaeo Rd.",Lat Lum Kaeo,,Pathum Thani Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,,
7050,"CT Distribution Center Co., Ltd.","333 Moo2, Phapolyothin Road, (Km.69) Chamaep",Wang Noi,,Phra Nakhon Si Ayutthaya Province,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
3155,"Capital Trading Co., Ltd.","118 Moo 9, Soi Watmahawong, Poochaosamingprai Road, Samrong",Phra Pradaeng,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,25/04/2023,
3172,"Cartino Gelatin Co., Ltd.","111 Moo 2, Tambon Prakasa",Mueang Samut Prakan,,Samut Prakan Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,04/01/2024,
1202,"Chaicharoen Marine (2002) Co., Ltd.","364-365 Moo8, Bana",Mueang Pattani,,Pattani Province,Thailand,third-country,FFP,PP,,,PP - Processing Plant,04/01/2024,
3076,"Chaijinda Seafood Co., Ltd.","35/39 Moo 4, Khokkham",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,PP,,,PP - Processing Plant,26/04/2023,
7040,"Chainavee Coldstorage Co., Ltd.","1258 Vichienchodok Road, Mahachai",Amphoe Muang,,Samut Sakhon,Thailand,third-country,FFP,CS,,,CS - Cold Stores,08/08/2023,
