approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
RN/C12/27,BRIKA (Kansala Fishing Company,19 Anglesea Street,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FSQARN/C1/143,Bluefinn Fish Processing Company,"Tanji, West Coast Region",Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,17/06/2022,
RN11686/21,Dimitrios 1 (Dimitrios 1 Shipping Co. Gambia Company Ltd),Warf Njargoh,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
RN/C12/11,EIGHTEEN (Kaderr Enterprise),5 Nelson Mandela Street,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FSQARN/C1/288,Glossary Seafood and Fishing Company,"Tanji, West Coast Region",Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,07/05/2024,
RN11273/19,Hansen Seafood Company,Denton Bridge,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,,
RN11676/20,IRIS (The West Panaafrican Fishing Company Ltd),Lamin Village,Lamin,,"Kerewan,North Bank",The Gambia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FSQARNC1159,JXYG Aquatic Products,"Kartong village, Kombo South, West Coast Region",Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,18/03/2025,
GAM/FPE/01/99,Kendaka Food And Fisheries International Ltd.,Serrekunda Highway,Banjul,,"Banjul,Banjul City Council; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products; 59 Imports of smoked fishery products are not authorised from this establishment",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,,
GAM/FPE/03/95,Rosamond Trade,,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,,
RN/C12/12,TWENTY (Kaderr Enterprise),5 Nelson Mandela Street,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GAM/FPE/02/94,The Atlantic Seafood Company,Banjul Serre Kunda Highway,Banjul,,"Banjul,Banjul City Council",The Gambia,third-country,FFP,PP,,,PP - Processing Plant,,
RN9432/16,West Africa Peche Ltd.,,Batukunku,,West Coast,The Gambia,third-country,FFP,PP,,,PP - Processing Plant,,
