approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
U09/96,ASHTREE FOODS LIMITED,"P.O.BOX 149418, PLOT 46, KANYANYA, GAYAZA ROAD",Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,28/05/2024,
U20/21,Ask International Limited,"P.O.Box 14435, Kampala Uganda Plot 498/499, Mugema Road, Lugala",Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,05/03/2024,
U12/00,Entebbe Handling Services Ltd. (ENHAS),,Entebbe,,"Wakiso,Central Region",Uganda,third-country,FFP,CS,,,CS - Cold Stores,,
U021/04,Fresh Perch LTD,"P.O.BOX 671 Entebbe, Plot No.19/21 Mirza Road",Entebbe,,"Wakiso,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U07/96,"Fresh Perch Limited, Jinja","Plot M 96, Nyanza Road, P.O. Box 1863",Jinja,,"Busia,Eastern Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U10/06,Karmic Foods Limited,P.O.BOX 27929 Kampala,Entebbe,,"Wakiso,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U05/96,Lake Bounty Ltd,P.O. BOX 71080,Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U02/94,Lake Eco Fish Processing Limited,"P.O.BOX 701281, Plot 15/17 Mirza Road, Entebbe",Entebbe,,"Wakiso,Central Region; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products",Uganda,third-country,FFP,PP,,,PP - Processing Plant,28/05/2024,
U22/06,Lake Perch Limited,P.O. Box. 1016,Entebbe,,"Wakiso,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U04/18,Ngege Limited,P.O. BOX 20028,Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U03/18,"Nyanza Perch Limited, Jinja","P.O. BOX 512, Plot 11/19, Nyanza Road, Jinja",Jinja,,"Jinja,Eastern Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,29/05/2024,
U23/09,Portside Fish Company Limited,"Plot 34-36 Old Port Bell Road, P.O.Box 34120",Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,12/08/2025,
U01/20,Sese Fresh Packers Limited,Rubaga Kabusu,Kampala,,"Kampala,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
U11/24,Tidal Wave Limited,"Plot 30, Samia Bugwe, Block 9, Majanji, Busia District",Majanji,,"Busia,Eastern Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,06/01/2025,
U06/21,Victoria Treasures LIMITED,"Plot 10, Block 432, Bugabo GARUGA",Entebbe,,"Wakiso,Central Region",Uganda,third-country,FFP,PP,,,PP - Processing Plant,,
