approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
02-29-19 ONF,"Branch ""Pererobniy Compleks"" Of Limited Liability Company ""Vinnytska Ptahofabryka""","Khlibozavodska, 14, Ladyzhyn, Vinnyts'ka Oblast'",Ladyzhin,,Vinnytsia Oblast,Ukraine,third-country,ABP-SH,,,,CAT3 - Category 3,,
02-08-01 SAB,"LLC ""KOZIATYNSKYI MIASOKOMBINAT""","33, Dovzhenko St.",Kozyatyn,,Vinnytsia Oblast,Ukraine,third-country,ABP-SH,,,,CAT3 - Category 3,,
23-07-32 ONF,Myronivska Pticefabrika PrJSC,"Cherkas'ka Oblast', Stepantsi, Sloboda, 25",Stepantsi,19031,Cherkasy Oblast,Ukraine,third-country,ABP-SH,,,,CAT3 - Category 3,,
a-UA-10-03-129,"""Alpina Food"" Ltd","Zaliznychna, 49 B",Kalynivka,08002,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,,
a-UA-15-28-15-VIII-PP,"""CHORNOMORMOREPRODUKT"" LLC","Primorska, 5, Chernomorsk the village of Burlacha Balka",Burlacha Balka,68094,Odes'ka Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,03/10/2022,
a-UA-32-06-18-0-CS-VIII-PP,"""FISHMAN TRADING"" LLC","vill. Litky, st. European, 47 a",Litky,07411,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,22/01/2025,
a-UA-10-19-73-VIII-PP,"""FLAGMAN SEAFOOD"" LLC","str. Lisova, 45 A, Zazimya village, Kyiv region, 07415",Зазим’я,07415,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,09/02/2023,
a-UA-15-05-268-VIII-PP-XVI-PP,"""GAMMA-B"" LLC","Odessa region, vil. Shabo, Shveytsarskaya str., 25-a",Shabo,67770,Odes'ka Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,,
04-23-132 FP,"""ICEBERG-FISH"" LLC","Vyrobnycha str. 4, Dnipro, 49000",Dnipro,49000,Dnipropetrovs'ka Oblast',Ukraine,third-country,FFP,PP,,,PP - Processing Plant,19/12/2022,
a-UA-53-02-97-VIII-PP,"""Kremfish"" Limited Liability Company","Poltava reg., Kremenchuk, Bohdan Khmelnytskyi srt., 3-B",Kremenchuk,39600,Poltavs'ka Oblast',Ukraine,third-country,FFP,PP,,,PP - Processing Plant,29/07/2024,
UA-10-26-48-V-MM-MP-MSM-VI-PP-VIII-PP-XVI-PP-SP-PS,"""Kyiv Meat Plant"" LLC","20, Skvyrske Highway, Bila Tserkva",Bila Tserkva,09100,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,07/08/2026,
"a-UA-32-14-14-0-CS-VIII PP, SP-XVI SP, PS","""ROSYCH-PLIUS"" LLC","18, Zakhysnykiv Azovstaly str., ""Shevchenkivskyi massif"" Boyarska territorial community, Fastiv distr.",Nove,08150,Kyiv Oblast,Ukraine,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,11/08/2025,
10-21-20 FP,'Dalryba' LLC,"77/8, Kyivska str., Tarasivka",Tarasivka,08161,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
10-08-126 FP,Agricultural Company 'Osetr' Ltd,"Promyslova, 8",Ukrainka,08720,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,03/02/2025,
04-04-20 FP,"COMPANY ""BASTION"" LIMITED LIABILITY COMPANY","Complex of buildings and constructions 145, territory of the Novooleksandrivska village council, Dniprovskij distr., Dnipropetrovskaya region",Novooleksandrivka,52070,Dnipropetrovs'ka Oblast',Ukraine,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,18/02/2022,
10-03-20 FP,FLAGMAN SEAFOOD LLC,"Kyyvs'ka oblast', Vasylkiv distr., Salivinky vill., Nezalegnosti str., 2",Salyvonky,08665,Kyiv,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,15/03/2024,
"a-UA-35-08-03-VIII-PP-XVI-SP, PS",Individual Entrepreneur Pohrebniak Nataliia Oleksandrivna,"34 a, Central str., Pavlivka vill.",Pavlivka,27519,Kirovohrads'ka Oblast',Ukraine,third-country,FFP,PP,,,PP - Processing Plant,28/11/2025,
a-UA-13-06-95-VIII-PP,Individual entrepreneur Maksymovych Oleksandra Ivanivna,"vil. Kopanka, str. Kopanka, 11a",Mokrotyn Rural Council,80355,Lviv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,13/07/2022,
a-UA-80-00-77-0-RW-VIII-FV-ZV-PP,"LLC ""Global Catch"" / ""Santa Isabel""","02105, m. Kyiv, prosp. Myru, 4",Kyiv,02105,Kyiv; 7224540	13/06/2025,Ukraine,third-country,FFP,PP ZV,,,PP - Processing Plant | ZV - Freezer Vessel,,
"a-UA-10-23-04-VIII-PP-XVI-PP, SP, PS","LLC ""Khutir na Okolitsi""","str. Rybkombinat, 2",Sukachi,07205,Kyiv Oblast,Ukraine,third-country,FFP,PP,,,PP - Processing Plant,28/08/2024,
