approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
9001,ABP Newry,Greenbank Industrial Estate Warrenpoint Road NEWRY BT34 2PD,Newry,BT34,"County Down,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
9033,ABP(Lurgan) Ltd,33 Annesborough Industrial Estate Lurgan CRAIGAVON BT67 9JD,Lurgan,BT67,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
9205,Armstrong Meats Ltd,"64a Lisnabreeny Road, Castlereagh, County Down NT6 9SR",County Down,BT6,Northern Ireland,United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9303,BROUGHGAMMON FARM,50 STRAID RD. BALLYCASTLE CO.ANTRIM BT54 6NP,County Antrim,BT54,Northern Ireland,United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9140,Ballymena Meats Ltd,"Pennybridge Industrial Estate, Ballymena BT42 3NG",Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9310,Ballyrashane Meat Wholesalers Ltd,108 Ballyrashane Road Coleraine BT52 2LJ,Coleraine,BT52,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9115,Bawnbua Foods NI Ltd,"67 Crowhill Road, Lurgan, Craigavon BT66 7AT",Craigavon,BT66,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9103,C & J Meats,"77 Red Lion Road, Kilmore, County Armagh BT61 8NU",County Armagh,BT61,Northern Ireland,United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9118,C Mallon,"12A Mayfair Business Park, Portadown BT62 1HA",Portadown,BT62,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9136,Carnbrooke Meats Ltd,Carnbrooke Meats Ltd 100 Ballynahinch Road Lisburn BT27 6EZ Northern Ireland,Lisburn,BT27,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9112,Causeway Prime,"Loughanhill Industrial Estate, Coleraine BT52 2NR",Coleraine,BT52,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9112A,Causeway Prime,"Rellan, Roslea BT92 7QU",Roslea / Rosslea,BT92,"County Fermanagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9120,Corries on the Farm,13 Crossnamuckley Road Newtownards BT22 2AA Northern Ireland,County Down,BT22,Northern Ireland,United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9045,Cranswick Country Foods (Ballymena),146 Fenaghy Road Cullybackey BALLYMENA BT42 1EA,Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
9301,DMP Foods Ltd,73 Largy Road,Crumlin,BT29,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
9011,Doherty & Gray Ltd,Woodside Industrial Estate Woodside Road BALLYMENA BT42 4HX,Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9012,Dunbia (Northern Ireland),Granville Industrial Estate DUNGANNON BT70 1NJ,Dungannon,BT70,"County Tyrone,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
9013,Etherson Meats Ltd,157 Bendooragh Road Killens BALLYMONEY BT53 7NR,Ballybogey,BT53,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9016,Foyle Meats Ltd,Campsie Londonderry BT47 6TJ,Londonderry/Derry,BT47,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
9042,Foyle Omagh,52 Doogary Road OMAGH BT79 0BQ,Omagh,BT79,"County Tyrone,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
9044,Fred C Robinson Ltd,40 Hillhead Road BALLYCLARE BT39 9DS,Ballyclare,BT39,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9520,GB Poultry Ltd,17 Mary Street,Crossgar,BT30,"County Down,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9308,GRG Foods Ltd t/a Irvines Family Butchers,62 Main Street Tattinderry Maguiresbridge Enniskillen BT94 4RZ,Enniskillen,BT94,"County Fermanagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9058,Galgorm Meats Ltd,24 Galgorm Industrial Estate Ballymena BT42 1AQ,Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
JF 028,Gourmet Island Ltd.,Unit 10 Greenbank Industrial Estate Newry BT34 2QX Northern Ireland,Newry,BT34,"County Down,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
App No. 9026,HILTON MEATS PRODUCTS LTD,UNIT 21A KILROOT BUSINESS PARK CARRICKFERGUS BT38 7PR,Carrickfergus,BT38,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
9061,Hannan Meats,9 Moira Industrial Estate Old Kilmore Road Moira BT67 0LZ,Moira,BT67,"County Down,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9024,Hewitt Meats,Lissheffield House Loughgall ARMAGH BT61 8QB,Armaghbrague,BT61,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9026,Hilton Meat Products Ltd,Unit 21A Kilroot Business Park CARRICKFERGUS BT38 7PR,Carrickfergus,BT38,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
ZS 005,JTM Meats,50 Quilly Road BT51 3PE,Coleraine,BT51,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9135,K & G McAtamney Wholesale Meats Ltd,Woodside Industrial Estate Woodside Road Ballymena BT42 4QJ Northern Ireland,Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9052,Karro Food Group Ltd,70 Molesworth Road COOKSTOWN BT80 8PJ,Cookstown,BT80,"County Tyrone,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
9108,Kettyle Irish Foods,"Manderwood Business Park, Lisnaskea BT92 0FS",Lisnaskea,BT92,"County Fermanagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9309,Kingsbury Farm Enterprises Ltd,Unit 12C Armagh Shopping Centre Dobbin Street Lane Armagh BT61 7AE,Armagh,BT61,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
9131,Lakeview Farm Meats Ltd,68 Largy Road Crumlin BT29 4RS Northern Ireland,Crumlin,BT29,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
9023,Linden Foods,Unit 2 & 5 Granville Industrial Estate DUNGANNON BT70 1NJ,Dungannon,BT70,"County Tyrone,Northern Ireland",United Kingdom (Northern Ireland),EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
