approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
365,Abasto de Carnes Saturno S.A.,Wilson Ferreira Aldunate s/n,Florida,94000,Florida,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,03/06/2026,08/06/2026
310,Breeders & Packers Uruguay S.A.,Ruta 14 km. 170,Durazno,97000,Durazno,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,18/01/2014,28/01/2026
245,COPAYAN S.A.,"RUTA 9, km. 210",Rocha,27000,Rocha,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,29/06/2017,28/01/2026
23,Caliral S.A.,Luis Batlle Berres 5175,Montevideo,11100,Montevideo,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,24/02/2026,26/02/2026
158,Dinolar S.A.,"Ruta 8, km. 28,300",Pando,91000,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,13/02/2025,13/02/2025
2,Establecimientos Colonia S.A.,Ruta 22,Tarariras,70002,Colonia,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,08/02/2013,28/01/2026
74,FRIGOSALTO (SOMICAR S.A.),RUTA 3 Y 31,Salto,50000,Salto,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,16/03/2015,26/02/2026
87,Frigorifico Arbiza S.A.,Colombia 1257,Montevideo,11100,Montevideo,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,08/08/2021,28/01/2026
8,Frigorifico Canelones S.A.,Pando s/n y Ameglio,Canelones,90000,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,06/06/2012,28/01/2026
8,Frigorifico Canelones S.A.,Pando S/N Esq. Miguel Ameglio,Canelones,90000,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,,
3,Frigorifico Carrasco S.A.,Camino Carrasco Nº 5,Paso Carrasco,15000,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,16/08/2011,28/01/2026
58,Frigorifico Casablanca SA (Fricasa),Localidad Casa Blanca,Casa Blanca,,Paysandú,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,08/03/2013,28/01/2026
394,Frigorifico La Caballada (Cledinor S.A.),Cost. Tomas Berreta Esq. P. Harriague,Salto,50000,Salto,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,08/02/2013,
439,Frigorifico Matadero Pando (Ontilcor S.A.),"Ruta 75, km 34",Pando,91000,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,03/02/2017,28/01/2026
7,Frigorifico Pul (Pulsa S.A.),"Ruta 8, km 389",Melo,37000,Cerro Largo,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,17/10/2012,28/01/2026
12,Frigorifico Tacuarembó S.A.,Ruta 5 y 26,Tacuarembó,45000,Tacuarembó,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,07/03/2025,12/03/2025
383,Frigorífico Arbiza S.A.,"Ruta 5, km.33",Progreso,90300,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,24/02/2026,24/02/2026
303,Frigorífico Clay S.A.,"Ruta 7, km 40",Totoral,91100,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,07/05/2015,28/01/2026
14,Frigorífico Durazno (Frigocerro SA),Santa Bernardina,Santa Bernardina,97006,Durazno,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,10/08/2018,28/01/2026
34,Frigorífico El Amanecer (Agroindustrial Del Este S.A.),"Ruta 19, km. 287",Treinta y Tres,33000,Treinta y Tres,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,07/05/2015,28/01/2026
104,Frigorífico Las Moras (Chiadel SA),Camino Aldabalde s/n,La Paz,15900,Canelones,Uruguay,third-country,ABP-SH,,,,CAT3 - Category 3,30/05/2012,28/01/2026
