approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SPES-5883,"ACONSA, C.A.",CTRA. CUMANA CUMANACOA KILOMETRO 5 LOCAL NRO. S/N SECTOR LAS CHARAS-CANTARRANA CHARAS SAN FRANCISCO,Cumana,6001,Sucre State,Venezuela,third-country,FFP,PP,,,PP - Processing Plant,,
SPES-5386,"AGRO SANTA LUCIA, C.A","LA CERCA, MUNICIPIO PEÑALVER, PARROQUIA SUCRE, ESTADO ANZOATEGUI",Barcelona,,Anzoátegui,Venezuela,third-country,FFP,PP,,,PP - Processing Plant,09/08/2023,
SPES-7439,"AGROMARINA ADRIANA, C.A",CALLE TROPICAL LOCAL GALPÓN INDUSTRIAL NRO SN SECTOR NUEVO PUEBLO NORTE PUNTO FIJO FALCÓN ZONA POSTAL 4102,Carirubana,,Falcón,Venezuela,third-country,FFP,PP,,,PP - Processing Plant,30/10/2023,
SPES-7211,"AGROPECUARIA AGUASALOBRE, S.A.",AV 5 CASA NRO 81.300 SECTOR MUCUBAJI EL BAJO,San Francisco,4004,"Municipio San Francisco,Zulia",Venezuela,third-country,FFP,PP,,,PP - Processing Plant,22/08/2025,
SPES-1011,"AGROPESQUERA PUERTO REY, C.A.","CALLE LA FORTUNA, SECTOR LOS BOQUETICO, EDF. PUERTO REY",Puerto La Cruz,6164,"Municipio Arismendi,Sucre State",Venezuela,third-country,FFP,PP,,,PP - Processing Plant,,
SPES-4902,"ALBACORA, PROCESADORA DE PRODUCTOS DEL MAR, C.A",CALLE PRINCIPAL PARCELA E-12 NRO 12-A ZONA INDUSTRIAL SAN JACINTO MARACAY ZONA POSTAL 2102,Maracay,,Aragua,Venezuela,third-country,FFP,PP,,,PP - Processing Plant,16/03/2022,
SPES-2023,"ALETA AZUL VENEZOLANA DE TUNIDOS,C.A.",CALLE PRINCIPAL CASA GALPON NRO 04 SECTOR EL DIQUE PUERTO PESQUERO CUMANA SUCRE,Cumana,6023,Sucre State; 8030245	17/08/2022,Venezuela,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SPES-7128,"ALIMENTOS DE VENEZUELA (ALIVENCA), C.A",CARRETERA NACIONAL CARUPANO SAN JOSE DE AEROCUAR SECTOR CLUB DE LEONES MUNICIPIO BERMUDEZ ESTADO SUCRE,Carúpano,6150,Sucre State,Venezuela,third-country,FFP,PP,,,PP - Processing Plant,,
SPES-3056,"ALIMENTOS MAR CARIBE 2008, C.A","AV 50 CARRETERA PERIJA, CASA # 176-112A LOCALES 17 Y 18, FRENTE A CEMENTOS CATATUMBO.",San Francisco,4000,"Municipio San Francisco,Zulia",Venezuela,third-country,FFP,PP,,,PP - Processing Plant,,
SPES-875,"AMAZONAS (PESQUERA AMAZONAS, C.A.)",,Cumana,6001,Sucre State,Venezuela,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
