approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
TS 547,584 Nha Trang Seaproduct Joint Stock Company,"Lot A23-A24, Dien Phu small and medium industrial cluster, Dien Dien commune, Khanh Hoa province",Dien Dien,,Khanh Hoa province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,26/02/2026,
DL 111,AGREX SAIGON FOODSTUFFS JOINT STOCK COMPANY (AGREX SAIGON),"No.10 Ben Nghe Street, Tan Thuan Ward, Ho Chi Minh City, Vietnam",Ho Chi Minh City,000084,Ho Chi Minh City,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,15/01/2026,
KL 1331,"AJ Dong Nai Cold Storage Company Limited (AJ Dong Nai Cold Co., LTD)","Nhon Trach VI Industrial Park, Phuoc An Commune, Dong Nai city, Vietnam",Dong Nai City,810000,Dong Nai province,Vietnam,third-country,FFP,CS,,,CS - Cold Stores,27/08/2026,
KL 1296,"AJ TOTAL VIETNAM CO.,LTD (AJ TOTAL VN)","Lot H.04, Street No.1, Long Hau Industrial Park, Can Giuoc Commune, Tay Ninh Province, Vietnam",Tây Ninh,082120,Tay Ninh province,Vietnam,third-country,FFP,CS,,,CS - Cold Stores,02/02/2026,
DL 1107,AMIGO SEAFOOD PROCESSING JOINT STOCK COMPANY,"No.01 Nguyen Van Tuyet, Thuan An Ward, Hue City",Hue City,530000,Hue City,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,04/05/2026,
DL 979,AN HAI FISHERY LIMITED COMPANY (AHFISHCO),"Lot B4-03, A area, Nhon Hoi Industrial Park, Quy Nhon Dong Ward, Gia Lai Province",Quy Nhon Dong,,Gia Lai Province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,25/02/2026,
HK 839,"AN LAC - TRA VINH SEAFOOD CO., LTD","No. 20, Lot E, Long Duc Industrial zone, Long Duc Ward, Vinh Long Province, Viet Nam",Vĩnh Long,930000,Vinh Long province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,19/01/2026,
DL 120,An Hoa KISIMEX Factory,"No. 62, Ngo Thoi Nhiem Street, Rach Gia Ward, An Giang Province, Viet Nam",Rach Gia,,An Giang province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,25/02/2026,
DL 311,An My Fish Joint Stock Company - ANMYFISH CO),"Lot A2-A3, Phu Hoa Industrial Zone, Phu Hoa Commune, An Giang Province, Viet Nam.",Phú Hòa,,An Giang province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,25/02/2026,
NM 793,"An N Cuong Co., Ltd","Number 8, Phan Nhung Street, Ward 1, Phu Quoc Special Zone, An Giang Province, Vietnam",Phu Quoc,925000,An Giang province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,14/07/2026,
TS 1311,An Nam Food Trading Company Limitied,"Lot 2.10J, Road 10, Tra Noc Industrial 2, Phuoc Thoi ward, Can Tho City",Can Tho City,950000,Can Tho City,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,27/08/2026,
DL 447,An Phu Factory-Soc Trang Seafood Joint Stock Company (Stapimex),"Lot N, An Nghiep Industrial Zone, An Ninh Commune, Can Tho City, Viet Nam",Can Tho City,950000,Can Tho City,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,15/01/2026,
DL 948,An San Foods Factory,"Lot B, An Nghiep Industrial Zone, An Ninh Commune, Can Tho City, Vietnam",Can Tho City,950000,Can Tho City,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,19/01/2026,
DL 422,Asia Foods Import Export Corporation (AFOODS),"Dong Hoa Village, Kim Son Ward, Dong Thap Province, Vietnam",Dong Thap Province,081000,Dong Thap Province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,15/01/2026,
DL 27,"Asia Pangasius Co., Ltd.","Block 38-39, My Tho Industrial Zone, Trung An Ward, Dong Thap Province, Vietnam",Dong Thap Province,081000,Dong Thap Province,Vietnam,third-country,FFP,PP,,,PP - Processing Plant,20/01/2026,
