approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
21,Aden Gulf Fisheries Co. Ltd,,Al Mansoura,,‘Adan Governorate,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
28,Al Yosfi Fisheri & Sea Creature Est.,,Dar Saad,,‘Adan Governorate,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
20,Albashair Fisheries Co.,,Al-Sheher,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
12,Alwadi Central Coldstorage Co. Ltd,,Madinat Al Mukalla,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
17,Arabian Seafood Co. Ltd,,Al-Sheher,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
03,Burum Seafood Co.,,Al-Sheher,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
08,Mermaid for Fish Trading,,Al-Sheher,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
13,Taj Socotra For Fisheries,POST BOX NR 80175,Socotra,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
16,Tamimi Fisheries Co.,,Al-Sheher,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
09,Yemen Fish,,Madinat Al Mukalla,,Hadhramaut,Yemen,third-country,FFP,PP,,,PP - Processing Plant,,
