Id,Name,Categories,Species,Lat,Lng,Lat/Lng,"Address Override","Street Num",Street,Suburb,State,Postcode,Country,"Last Known Status",Tags,"Owned By","Contracted To","Map URL","Profile URL"
67c01,"Unknown Red Lea Broiler Farm","Farm (meat)",Chickens,-34.777027,149.998322,"-34.777027, 149.998322","270 Glynmar Rd, Marulan New South Wales 2579, Australia",,"Unnamed Road",Marulan,NSW,2579,Australia,Open,,,,https://www.farmtransparency.org/map?location=67c01,https://www.farmtransparency.org/facilities/67c01-unknown-red-lea-broiler-farm
26cb3,"Parkwood Egg Farm","Farm (eggs)",Chickens,-35.205250,148.989792,"-35.205250, 148.989792","266 Parkwood Rd, Belconnen ACT, Australia",1206,"Parkwood Road",Wallaroo,NSW,2618,Australia,Open,"Barn-laid,Export Market","Pace Farm",,https://www.farmtransparency.org/map?location=26cb3,https://www.farmtransparency.org/facilities/26cb3-parkwood-egg-farm
a31f3,Eurilpa,,,-31.043173,150.854401,"-31.043173, 150.854401",,720,"Wallamore Road",Wallamore,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=a31f3,https://www.farmtransparency.org/facilities/a31f3-eurilpa
e1eb1,"Toralbo - Ingham Turkey Farm","Farm (meat)",Turkeys,-34.729633,150.005997,"-34.729633, 150.005997",,90,"Green Hills Road",Marulan,NSW,2579,Australia,Open,,"TORALBO PTY LTD","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=e1eb1,https://www.farmtransparency.org/facilities/e1eb1-toralbo-ingham-turkey-farm
c0039,"S & A Pace Turkey Farm","Farm (meat)",Turkeys,-34.756996,150.010056,"-34.756996, 150.010056",,381,"Marulan South Road",Marulan,NSW,2579,Australia,Open,,"A PACE & S.P PACE","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=c0039,https://www.farmtransparency.org/facilities/c0039-s-pace-turkey-farm
7519b,"J & P Cilia Turkey Farm","Farm (meat)",Turkeys,-34.752552,149.865036,"-34.752552, 149.865036",,6,"Trilla Lane","Boxers Creek",NSW,2580,Australia,Open,,"JAMES MIFSUD","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=7519b,https://www.farmtransparency.org/facilities/7519b-j-p-cilia-turkey-farm
4f174,"Baiada Bowlers Lane 3 Poultry Facility","Farm (meat)",Chickens,-31.057217,150.832230,"-31.057217, 150.832230",,1428,"Bowlers Lane",Westdale,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=4f174,https://www.farmtransparency.org/facilities/4f174-baiada-bowlers-lane-3-poultry-facility
851fa,"Brookview Park Pty Ltd","Farm (meat) (unconfirmed)","Chickens (unconfirmed)",-28.929197,153.109222,"-28.929197, 153.109222",,1,"Wageners Road",Greenridge,NSW,2471,Australia,Open,,,,https://www.farmtransparency.org/map?location=851fa,https://www.farmtransparency.org/facilities/851fa-brookview-park-pty-ltd
78f32,"SBA Hatchery","Farm (eggs), Hatchery",Chickens,-36.649250,144.379883,"-36.649250, 144.379883","1645 Midland Hwy, Bagshot VIC 3551, Australia",5,"Midland Highway",Bagshot,VIC,3551,Australia,Open,"Macerator,Hatchery","Specialised Breeders Australia (SBA)",,https://www.farmtransparency.org/map?location=78f32,https://www.farmtransparency.org/facilities/78f32-sba-hatchery
d6bdd,"Baiada Bowlers Lane 2 Poultry Facility","Farm (meat)",Chickens,-31.052086,150.839035,"-31.052086, 150.839035",,1428,"Bowlers Lane",Westdale,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=d6bdd,https://www.farmtransparency.org/facilities/d6bdd-baiada-bowlers-lane-2-poultry-facility
3a2ef,"SBA Kamarooka Hatchery","Farm (eggs), Hatchery",Chickens,-36.588955,144.366470,"-36.588955, 144.366470",,725,"Bendigo-Tennyson Road","Huntly North",VIC,3551,Australia,Open,Hatchery,"Specialised Breeders Australia (SBA)",,https://www.farmtransparency.org/map?location=3a2ef,https://www.farmtransparency.org/facilities/3a2ef-sba-kamarooka-hatchery
a1104,"Baiada Bowlers Lane 1 Poultry Facility","Farm (meat)",Chickens,-31.046288,150.847107,"-31.046288, 150.847107",,1428,"Oxley Highway",Wallamore,NSW,2340,Australia,Open,"Parent / Breeder,",,,https://www.farmtransparency.org/map?location=a1104,https://www.farmtransparency.org/facilities/a1104-baiada-bowlers-lane-1-poultry-facility
b077e,Unknown,"Farm (meat) (unconfirmed)","Chickens (unconfirmed)",-31.035028,150.832382,"-31.035028, 150.832382",,126,"Byamee Lane",Wallamore,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=b077e,https://www.farmtransparency.org/facilities/b077e-unknown
6bb10,"Huntly Farm Unit 6","Farm (meat)",Pigs,-36.619965,144.376068,"-36.619965, 144.376068",,359-443,"Bendigo-Tennyson Road","Huntly North",VIC,3551,Australia,Open,,,,https://www.farmtransparency.org/map?location=6bb10,https://www.farmtransparency.org/facilities/6bb10-huntly-farm-unit-6
8717e,Unknown,"Farm (meat) (unconfirmed)","Chickens (unconfirmed)",-31.030752,150.833054,"-31.030752, 150.833054",,153,"Byamee Lane",Wallamore,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=8717e,https://www.farmtransparency.org/facilities/8717e-unknown
c1188,Unknown,"Farm (meat) (unconfirmed)","Chickens (unconfirmed)",-31.026321,150.841537,"-31.026321, 150.841537",,961-963,"Wallamore Road",Wallamore,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=c1188,https://www.farmtransparency.org/facilities/c1188-unknown
50fee,Baiada,"Farm (meat)",Chickens,-31.045195,150.826996,"-31.045195, 150.826996",,1428,"Oxley Highway",Wallamore,NSW,2340,Australia,Open,"Parent / Breeder",,,https://www.farmtransparency.org/map?location=50fee,https://www.farmtransparency.org/facilities/50fee-baiada
a6454,"Kelinda Poultry Breeding Facilities","Farm (meat)",Chickens,-31.018810,150.830887,"-31.018810, 150.830887",,244-346,"Gidley Siding Road",Gidley,NSW,2340,Australia,Open,,,,https://www.farmtransparency.org/map?location=a6454,https://www.farmtransparency.org/facilities/a6454-kelinda-poultry-breeding-facilities
