Id,Name,Categories,Species,Lat,Lng,Lat/Lng,"Address Override","Street Num",Street,Suburb,State,Postcode,Country,"Last Known Status",Tags,"Owned By","Contracted To","Map URL","Profile URL"
nd0is,"Fearmans Pork Inc",Slaughterhouse,Pigs,43.377171,-79.766006,"43.377171, -79.766006",,821,"Appleby Line",Burlington,ON,"L7L 4W9",Canada,Open,,,,https://www.farmtransparency.org/map?location=nd0is,https://www.farmtransparency.org/facilities/nd0is-fearmans-pork-inc
h2num,"Al's Feathers Be Gone",Slaughterhouse,Chickens,49.296745,-124.863739,"49.296745, -124.863739",,6795,"Swanson Road West","Port Alberni",BC,"V9Y 8L7",Canada,Open,,,,https://www.farmtransparency.org/map?location=h2num,https://www.farmtransparency.org/facilities/h2num-als-feathers-be-gone
ra9tm,"Middle Island",,,41.682613,-82.682594,"41.682613, -82.682594",,,,"Pelee Island",ON,"N0R 1M0",Canada,Open,,,,https://www.farmtransparency.org/map?location=ra9tm,https://www.farmtransparency.org/facilities/ra9tm-middle-island
13pow,"Daybreak Farms Eggs","Farm (eggs)",Chickens,54.539753,-128.601974,"54.539753, -128.601974",,4832,"Dairy Avenue",Thornhill,BC,"V8G 4K5",Canada,Open,,,,https://www.farmtransparency.org/map?location=13pow,https://www.farmtransparency.org/facilities/13pow-daybreak-farms-eggs
0gvn9,"Abattoir Rosé Mignon","Slaughterhouse (unconfirmed)",,46.133926,-71.775154,"46.133926, -71.775154",,266,"2e Rang",Saint-Fortunat,QC,"G0P 1L0",Canada,Open,,,,https://www.farmtransparency.org/map?location=0gvn9,https://www.farmtransparency.org/facilities/0gvn9-abattoir-ros-mignon
sorw8,"Abattoir Clément Poissant",Slaughterhouse,,45.297970,-73.467339,"45.297970, -73.467339",,182,"Rang Saint-André",Saint-Philippe,QC,"J0L 2K0",Canada,Open,,,,https://www.farmtransparency.org/map?location=sorw8,https://www.farmtransparency.org/facilities/sorw8-abattoir-clment-poissant
tx7kf,"Kenneth G Zylstra Dairy","Farm (dairy)",Cows/cattle,49.001549,-122.410042,"49.001549, -122.410042",,29457,"0 Avenue",Abbotsford,BC,V4X,Canada,Open,,,,https://www.farmtransparency.org/map?location=tx7kf,https://www.farmtransparency.org/facilities/tx7kf-kenneth-g-zylstra-dairy
6esz3,"Sunrise Poultry Processors Ltd",Slaughterhouse,,49.709480,-112.785233,"49.709480, -112.785233",,3863,"6 Avenue North",Fairview,AB,"T1H 5C2",Canada,Open,,,,https://www.farmtransparency.org/map?location=6esz3,https://www.farmtransparency.org/facilities/6esz3-sunrise-poultry-processors-ltd
7k98t,"Sunrise Poultry Processors Ltd",Slaughterhouse,,49.814301,-112.146317,"49.814301, -112.146317",,7800,"52 Street",Taber,AB,"T1G 0B4",Canada,Open,,,,https://www.farmtransparency.org/map?location=7k98t,https://www.farmtransparency.org/facilities/7k98t-sunrise-poultry-processors-ltd
b7e11,"Sunrise Poultry Processors Ltd",Slaughterhouse,,49.135967,-122.847603,"49.135967, -122.847603",,13538,"73 Avenue","Sunshine Hills",BC,"V3W 2R6",Canada,Open,,,,https://www.farmtransparency.org/map?location=b7e11,https://www.farmtransparency.org/facilities/b7e11-sunrise-poultry-processors-ltd
