Id,Name,Categories,Species,Lat,Lng,Lat/Lng,Address Override,Street Num,Street,Suburb,State,Postcode,Country,Last Known Status,Tags,Owned By,Contracted To,Map URL,Profile URL
9aad5,-  Berkshire Park Bird Farm & Pet Supplies,Pet breeder,"Rabbits, Fish/sealife, Dogs",-33.669125,150.794510,"-33.669125, 150.794510",,82,Second Road,Berkshire Park,NSW,2765,Australia,Open,,,,https://www.farmtransparency.org/map?location=9aad5,https://www.farmtransparency.org/facilities/9aad5-berkshire-park-bird-farm
vqb1g,?,Farm (meat) (unconfirmed),Chickens (unconfirmed),37.484020,-120.956772,"37.484020, -120.956772",,942,South Central Avenue,Turlock,CA,95380,United States,Open,,,,https://www.farmtransparency.org/map?location=vqb1g,https://www.farmtransparency.org/facilities/vqb1g-
9r4hy,?? Part of Double A ??,Farm (dairy),Cows/cattle,42.852058,-114.500343,"42.852058, -114.500343",,,East 900 North,Jerome,ID,83338,United States,Open,,,,https://www.farmtransparency.org/map?location=9r4hy,https://www.farmtransparency.org/facilities/9r4hy--part-double-
olgig,?? Part of Ronald Braun Dairy ??,Farm (dairy),Cows/cattle,43.030174,-114.556648,"43.030174, -114.556648",,651,8 Mile Road West,Shoshone,ID,83352,United States,Open,,,,https://www.farmtransparency.org/map?location=olgig,https://www.farmtransparency.org/facilities/olgig--part-ronald-braun-dairy-
afjey,?? Vandervegt Dairy LLC,Farm (dairy),Cows/cattle,42.666767,-114.505630,"42.666767, -114.505630",,77,East 400 South,Jerome,ID,83338,United States,Open,,,,https://www.farmtransparency.org/map?location=afjey,https://www.farmtransparency.org/facilities/afjey--vandervegt-dairy-llc
unj6l,?Part of Montgomery Land & Cattle?,Farm (meat),Cows/cattle,42.716415,-113.745903,"42.716415, -113.745903",,382,West 700 North,Rupert,ID,83350,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=unj6l,https://www.farmtransparency.org/facilities/unj6l-part-montgomery-land-cattle
8jt7r,'ørstedgaard Svineproduktion K/S,Farm (meat),Pigs,55.535282,12.055698,"55.535282, 12.055698",,2,Åbakkevej,Viby Sjælland,Region Zealand,4130,Denmark,Open,,,,https://www.farmtransparency.org/map?location=8jt7r,https://www.farmtransparency.org/facilities/8jt7r-rstedgaard-svineproduktion-k-s
mjwt6,'t Boerder-ei-Ke,Farm (eggs),Chickens,51.489666,5.466153,"51.489666, 5.466153",,80,Aanschot,Woensel-Noord,NB,5629 BJ,Netherlands,Open,,,,https://www.farmtransparency.org/map?location=mjwt6,https://www.farmtransparency.org/facilities/mjwt6-t-boerder-ei-ke
sb4hg,'t Condé Biologische Varkenshouderij,Farm (meat),Pigs,52.445496,6.252944,"52.445496, 6.252944",,2,Delmterweg,Heino,OV,8141 PJ,Netherlands,Open,,,,https://www.farmtransparency.org/map?location=sb4hg,https://www.farmtransparency.org/facilities/sb4hg-t-cond-biologische-varkenshouderij
9glub,"""La Tranquera""",Farm (meat),Cows/cattle,-32.730659,-64.094597,"-32.730659, -64.094597",,,,,Cordoba,,Argentina,Open,Feedlot,,,https://www.farmtransparency.org/map?location=9glub,https://www.farmtransparency.org/facilities/9glub-la-tranquera
12kis,"""Wonderful"" Zoo",Zoo,,43.796150,131.828491,"43.796150, 131.828491",,104,Lugovaya Ulitsa,Borisovka,Primorskiy kray,692542,Russia,Open,,,,https://www.farmtransparency.org/map?location=12kis,https://www.farmtransparency.org/facilities/12kis-wonderful-zoo
umb91,"""Пушистик"" Контактный Зоопарк",Zoo (unconfirmed),,54.195972,45.172447,"54.195972, 45.172447",,9,Ulitsa Vasenko,Proletarskiy Rayon,Respublika Mordoviya,430001,Russia,Open,,,,https://www.farmtransparency.org/map?location=umb91,https://www.farmtransparency.org/facilities/umb91--
b2qgd,(Bettencourt Dairy #6 Barn 2),Farm (dairy),Cows/cattle,42.716652,-114.618385,"42.716652, -114.618385",,3355,450 East Road,Jerome,ID,83338,United States,Open,,,,https://www.farmtransparency.org/map?location=b2qgd,https://www.farmtransparency.org/facilities/b2qgd-bettencourt-dairy-6-barn-2
4f803,(Site for Proposed) Cheviot Hills Feedlot,Farm (meat),Cows/cattle,-33.653336,117.149513,"-33.653336, 117.149513",,,Crapella Road,Boscabel,WA,6394,Australia,Open,Feedlot,Stone Axe Pastoral Company Pty Ltd,,https://www.farmtransparency.org/map?location=4f803,https://www.farmtransparency.org/facilities/4f803-site-proposed-cheviot-hills-feedlot
jz1l7,004-280-075 Feedlot,Farm (dairy),Cows/cattle,36.337208,-119.752518,"36.337208, -119.752518",,16499,Colony Road,Lemoore,CA,93245,United States,Open,,,,https://www.farmtransparency.org/map?location=jz1l7,https://www.farmtransparency.org/facilities/jz1l7-004-280-075-feedlot
z7iz8,085 (klaassen-mcwilliams),Farm (meat),Pigs,43.446529,-95.830093,"43.446529, -95.830093",,4853,140th Street,Little Rock,IA,51243,United States,Open,,,,https://www.farmtransparency.org/map?location=z7iz8,https://www.farmtransparency.org/facilities/z7iz8-085-klaassen-mcwilliams
hupu0,101 Ranch,Farm (meat),Cows/cattle,42.976803,-115.150482,"42.976803, -115.150482",,8009,101 Ranch Road,King Hill,ID,83633,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=hupu0,https://www.farmtransparency.org/facilities/hupu0-101-ranch
loo3r,104 (duis),Farm (meat),Pigs,43.462582,-95.816940,"43.462582, -95.816940",,4922,130th Street,Sibley,IA,51249,United States,Open,,,,https://www.farmtransparency.org/map?location=loo3r,https://www.farmtransparency.org/facilities/loo3r-104-duis
jnbe9,108 (solsma),Farm (meat),Pigs,43.143200,-95.546547,"43.143200, -95.546547",,6296,350th Street,Hartley,IA,51346,United States,Open,,,,https://www.farmtransparency.org/map?location=jnbe9,https://www.farmtransparency.org/facilities/jnbe9-108-solsma
p3uxg,110 (hauswirth),Farm (meat),Pigs,42.844051,-94.932281,"42.844051, -94.932281",,4648,240th Avenue,Marathon,IA,50565,United States,Open,,,,https://www.farmtransparency.org/map?location=p3uxg,https://www.farmtransparency.org/facilities/p3uxg-110-hauswirth
tazqq,116 (ehlers),Farm (meat),Pigs,42.733742,-94.987244,"42.733742, -94.987244",,2130,540th Street,Albert City,IA,50510,United States,Open,,,,https://www.farmtransparency.org/map?location=tazqq,https://www.farmtransparency.org/facilities/tazqq-116-ehlers
yk2i7,119 (kruger),Farm (meat),Pigs,43.465012,-95.979332,"43.465012, -95.979332",,1287,Kingbird Avenue,Little Rock,IA,51243,United States,Open,,,,https://www.farmtransparency.org/map?location=yk2i7,https://www.farmtransparency.org/facilities/yk2i7-119-kruger
3fbr8,12 Quail Farm,,Quail,54.024059,-7.892500,"54.024059, -7.892500",,,R209,Annadale,LM,,Ireland,Open,,,,https://www.farmtransparency.org/map?location=3fbr8,https://www.farmtransparency.org/facilities/3fbr8-12-quail-farm
o9v03,120th Site,Farm (meat),Pigs,42.529869,-93.432632,"42.529869, -93.432632",,13397,120th Street,Alden,IA,50006,United States,Open,,,,https://www.farmtransparency.org/map?location=o9v03,https://www.farmtransparency.org/facilities/o9v03-120th-site
z6js2,121 Ranch,Farm (meat),Cows/cattle,42.417667,-112.066872,"42.417667, -112.066872",,8242,East Salvesen Road,Downey,ID,83234,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=z6js2,https://www.farmtransparency.org/facilities/z6js2-121-ranch
a3z2u,123 (t. Lampe),Farm (meat),Pigs,42.891949,-94.748749,"42.891949, -94.748749",,18435,410th Street,Laurens,IA,50554,United States,Open,,,,https://www.farmtransparency.org/map?location=a3z2u,https://www.farmtransparency.org/facilities/a3z2u-123-t-lampe
8h7mp,124 (r. Lampe),Farm (meat),Pigs,42.871731,-94.719078,"42.871731, -94.719078",,42491,200th Avenue,Havelock,IA,50546,United States,Open,,,,https://www.farmtransparency.org/map?location=8h7mp,https://www.farmtransparency.org/facilities/8h7mp-124-r-lampe
71hy5,1256 CATTLE COMPANY,Farm (meat),Cows/cattle,40.078148,-102.307373,"40.078148, -102.307373",,26795,U.S. 34,Wray,CO,80758,United States,Open,,,,https://www.farmtransparency.org/map?location=71hy5,https://www.farmtransparency.org/facilities/71hy5-1256-cattle-company
zn3tn,125th St,Farm (meat),Pigs,42.521320,-93.432716,"42.521320, -93.432716",,13464,125th Street,Alden,IA,50006,United States,Open,,,,https://www.farmtransparency.org/map?location=zn3tn,https://www.farmtransparency.org/facilities/zn3tn-125th-st
9kd1d,140 Cattle Co.,Farm (dairy),Cows/cattle,37.299866,-120.770706,"37.299866, -120.770706",,,,Livingston,CA,95334,United States,Open,,,,https://www.farmtransparency.org/map?location=9kd1d,https://www.farmtransparency.org/facilities/9kd1d-140-cattle-co
wzi8y,150th Avenue,Farm (skins/fur),,44.813568,-91.228493,"44.813568, -91.228493",,101,South 150th Avenue,Fall Creek,WI,54742,United States,Open,,,,https://www.farmtransparency.org/map?location=wzi8y,https://www.farmtransparency.org/facilities/wzi8y-150th-avenue
ajtj8,160,Farm (meat),Cows/cattle,43.248280,-112.121574,"43.248280, -112.121574",,,Little Indian Canal Road,Firth,ID,83236,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=ajtj8,https://www.farmtransparency.org/facilities/ajtj8-160
hmpbl,161,Farm (meat),Cows/cattle,43.247467,-112.132248,"43.247467, -112.132248",,,Little Indian Canal Road,Firth,ID,83236,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=hmpbl,https://www.farmtransparency.org/facilities/hmpbl-161
25liu,1617 Helton Road	Bean Station,Slaughterhouse,,36.288063,-83.396362,"36.288063, -83.396362",,1617,Helton Road,Bean Station,TN,37708,United States,Open,,,,https://www.farmtransparency.org/map?location=25liu,https://www.farmtransparency.org/facilities/25liu-1617-helton-road-bean-station
1bmpz,162,Farm (meat),Cows/cattle,43.247646,-112.130669,"43.247646, -112.130669",,,Little Indian Canal Road,Firth,ID,83236,United States,Open,Feedlot,,,https://www.farmtransparency.org/map?location=1bmpz,https://www.farmtransparency.org/facilities/1bmpz-162
olce7,180 Iowa Layer Llc,Farm (meat),Chickens,42.855980,-95.055428,"42.855980, -95.055428",,4564,180th Avenue,Marathon,IA,50565,United States,Open,,,,https://www.farmtransparency.org/map?location=olce7,https://www.farmtransparency.org/facilities/olce7-180-iowa-layer-llc
